"From files: pickles/sentiment_2_pickles/sentiment_2_A,B.p, greedy_sent_results.json",,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"The year is 1910. The Great War has devastated Europe and America, and America's economy is in shambles. The government is underfunded, the stock market is in freefall, unemployment is soaring, the economy is in recession, and the nation is on the edge
 ","The year is 1910. One of his friends is an old-school writer, and the two of them start a new series of short stories, each a stunning work of the most amazing imagination of the mind and the art of the hand. The most incredible talent and the most",B,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,,12_837_628
"The country's most affordable, award winning wines.

The highest quality, most varied and most accessible range of wine for the most budget-conscious wine enthusiast. Our wine is carefully selected to meet all of your needs. We offer a wide variety in prices","The country's largest public pension funds are struggling to find enough cash to meet their investment obligations.
 The funds, which have about $5 billion in total assets and $5.6 billion of assets under management, are struggling to meet the $3.
 ",A,5,4,,Neither,4,5,,A,4,4,,,,,,,,,,,,,8_352_271
"The painting of Jesus in the Vatican's Museums of the Revolution is one of a series of works of art that have been displayed in the Vatican since its foundation in 1648 and have inspired many a controversy.
 The painting, known in English as the
 ","The painting by Paul Gauvraves

A very good and detailed painting, I would recommend for all those people who want to see it in person:<|endoftext|>The most beautiful piece of art ever created has arrived: a stunning and mesmerizing depiction of the",B,5,4,,B,4,3,,B,2,4,,,,,,,,,,,,,0_197_460
"The last time I saw the man was at a restaurant in New York City in the late 1980s. I was in the middle of writing this article when he walked up to me. He was a man in his late 40s, with a thick mustache and a
 ","The last time I visited, at the age of 80, I was still living in a large, spacious, and well-furnished house, with a beautiful landscaped lawn, and a beautiful kitchen. I had a lovely wife with wonderful health, and we",B,5,3,,B,4,3,,B,4,3,,,,,,,,,,,,,41_153_306
"The book is a great read.
 It is an excellent introduction to the subject of how to make a good game.
 It's very easy to understand.
 If you are a fan of games that is a must read.<|endoftext|>In the
 ","The book is in a wonderful place on the market. It's in very good condition, the illustrations are great, and a great deal of the text is still readable. This is an extremely rare book, and one that deserves to be cherished.

The",Both,4,4,,B,3,4,,Both,4,4,,,,,,,,,,,,,32_649_828
"The potato is known to grow rapidly in areas where it is planted. It is a fast growing plant, but it is also very sensitive to environmental conditions.
 It can survive for months or even years in a variety of environments, including the soil.
 ","The potato and potato-shaped: A guide to all things delicious


The world's largest potato is a fascinating, if a bit surprising, sight: A dazzling array of beautiful shapes.

The spectacular display of brilliant colours is all thanks to a team",B,5,4,,B,4,3,,B,4,4,,,,,,,,,,,,,4_819_678
"The movie is a good, and it has the makings of being a great film, if it doesn't take you a long time to get to the film's great beauty and stunning performance by the performances by Richard Avedon, The New Yorker, The","The movie ""The Great Gatsby"" was based on the true story of the late financier, and the man who invented the modern American lifestyle. In the movie, Gatsby, the famous banker, is a self-made millionaire who has
 ",A,2,3,,A,4,5,,A,2,5,,,,,,,,,,,,,16_780_541
"The city of New York City has announced that it will be removing a statue of the famed artist Robert Rauschenberg from the city's streets. The artist was a controversial figure in New York and was known for his anti-establishment and anti-establishment style
 ","The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,",B,4,3,,B,4,3,,B,4,4,,,,,,,,,,,,,22_135_278
"The city of San Francisco is trying to get rid of the city's iconic ""T"" sign.
 The sign, which stands at the intersection of Third Street and Harrison Street in the city, was installed in 1884. In the past several months,
 ",The city of Vancouver will be one of the first to experience a new wave of new and exciting music from the talented artists that have been creating their own brand of musical excellence for the past few years with one song after another. This year marks the debut of The,B,4,5,,Neither,4,4,,B,4,4,,,,,,,,,,,,,21_113_866
"The road of redemption is long and full of joy and sorrows and triumphs. I've learned from all that, and I'm grateful to have found it here.""

–John F. Kennedy Jr.

In this touching tribute to the man","The road to recovery is long and winding. In the wake of the Great Recession, many workers have been laid off. And as the economy recovers, many of these workers will return to jobs that are still too hard for them to find.
 But a
 ",A,5,4,,Neither,4,4,,Neither,5,4,,,,,,,,,,,,,34_600_615
"The year is 1910. The United States of America is a nation of immigrants. The nation is divided into three distinct groups. The first are ""white,"" who hail from Europe and are mostly from England, the second are ""black,"" and the third are ""Asian,"" who
 ","The year is 1910. The young and talented Russian composer, O.P. Dmitritch, has just won the first prize of his lifetime: a lifetime achievement prize for the opera of the Siena opera house, a prize that he has since won twice: in 1909",B,3,3,,Neither,4,3,,B,4,3,,,,,,,,,,,,,14_823_506
"The year is 1910. A new age of technology has revolutionized the production of energy. The first truly revolutionary invention – the phonograph - is born.

The phonograph's unique ability to capture sounds of incredible clarity - a feat that was thought impossible until a group","The year is 1910. A new, wealthy man is living in the city. A woman, a widow, is living on a modest estate. The man's son is a doctor, and he is trying to get his father a job. He wants to be a doctor,
 ",Both,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,13_410_293
"The book is an epic tale of a group of great minds and a superbly talented band and I have a very big heart for you. I want to make you feel the way I felt about this incredible story, the power of this amazing book and the incredible","The book of the same name is a collection of stories by the same author, and has been described as ""a classic of the genre"" by the author. It is the story of a young man who is given the chance to join a group of men and
 ",A,4,5,,A,4,4,,A,4,4,,,,,,,,,,,,,31_838_827
"The president of the country's largest private school system has said he will no longer teach English in his schools because he does not want to be associated with ""political correctness"".
 The decision was prompted by a series of protests by parents, who said they were upset by the
 ","The president of the country's oldest scientific museum, the National Air and Space Museum, will honor its former president on Sunday with the first of a pair of new gold-plated and gold-emblazoned gold-trimmed medals, the first ever issued by",Neither,5,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,10_237_700
"Once upon a time, a man named David was a good guy. He was good-looking and had a great job, which was to make a living from selling his body. He had a wife and two kids.
 But then things went bad. He was
 ","Once upon a time, the Earth was a wonderful place to live and live well. The water was pure, the air was rich with life, and the climate was warm and humid.

But that's all changed.

The oceans and atmosphere have begun to",Neither,4,2,,Neither,4,3,,Both,4,4,,,,,,,,,,,,,29_219_172
"The horse-sized, horse-shaped, or horse-shaped, or ""Horses"" (or ""Horns"") is a type of creature that is often used in fantasy and science fiction. The term is derived from the Latin word hortus,
 ","The horse is a very important and fascinating creature of the outdoors. And with the recent popularity and innovation being brought about by the latest advancements in the world of robotics and artificial intelligence and artificial intelligence technology, there will surely be more opportunities to enhance your outdoor experience and",Neither,4,4,,Neither,2,4,,Neither,3,3,,,,,,,,,,,,,43_495_338
"The lake is filled to capacity every day and it is always busy. It is a popular destination for the locals.
 The Lake of Peace is one of the best tourist attractions in Thailand.
 The Lake is a beautiful place with a wide variety of
 ","The lake is a beautiful place to visit. The water is so clear it feels like you are walking on an ocean of water. The birds are singing and playing on the waves, and all the fish and wildlife are plentiful in the waters of this great lake.",Both,4,5,,B,4,4,,Both,4,4,,,,,,,,,,,,,26_55_588
"The president of the country's oldest Jewish museum is planning an event celebrating its 150th anniversary in 2017.

The New York State Historical Society will host a commemorative event honoring the Jewish people and the Holocaust at the newly refurbished and expanded Holocaust Memorial Museum on Friday.","The president of the country's biggest private university is calling for a ban on ""unethical"" student recruitment practices.
 ""Unethical recruiters"" have been using the university's online recruitment system to recruit students for its ""most exclusive programs"", said the president of the
 ",Neither,5,4,,Neither,5,4,,Neither,4,4,,,,,,,,,,,,,11_152_337
"The potato is a member of the potato family and is found on all continents. It is one of the most common foods in the world and it can be grown on almost any land surface, from the ground to the sea, in any climate. It can also
 ","The potato, the star of the ""Golden Age"" of Food, is a fascinating example of an unusual and delicious food.

While other plants are known for their amazing range and ability to thrive in a wide variety of conditions, potatoes are known for being",B,4,5,,Neither,5,4,,B,4,4,,,,,,,,,,,,,3_65_860
"The book is a great read, and is an absolute classic to any person who has ever loved the art of cinema. In fact, I don't know of a more important and influential film of its time. The film was a masterpiece of cinematography and storytelling","The book is written in the style of the late, great Robert Frost. The book is full of images and sounds of the great American past and of the great American future. Frost's vision is a vision of a future in which the American people have been able
 ",Both,4,5,,A,4,3,,A,4,4,,,,,,,,,,,,,30_818_603
"The horse (H) is a favorite of all the scientists. We all know this, but what we don't realize is that the horse has some amazing powers as an animatronic, with the ability to levitate, and to fly at great speeds through","The horse is the most important animal in a horse's life. It has the ability to walk and run, to eat, and it has the ability to sleep. The horse is also a very important part of the horse's life. The horse has been around
 ",A,4,3,,Neither,4,3,,Neither,3,3,,,,,,,,,,,,,44_126_7
"The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of","The president of the country's oldest and largest Catholic church has called on Christians and Muslims to come together in order to ""save the world.""
 ""God's love, His compassion and mercy are always with the poor. It's a matter of common concern for us,
 ",Both,3,4,,A,4,4,,A,3,4,,,,,,,,,,,,,9_360_717
"Once upon a time, the planet Venus was a pleasant, beautiful, and very hot place to visit. It was the perfect place to see a dazzling array of stunningly colored, intensely detailed Venusian landscapes.

The Venusian environment is also one of the greatest","Once upon a time, there was a guy called Mike. He was an engineer and a software developer. He was an engineer. He was a software engineer. He was a software developer. He loved programming, he loved software development, he loved software. He had a
 ",A,5,1,,A,4,2,,A,4,2,,,,,,,,,,,,,27_710_233
"The last time I checked, we weren't allowed to have any sex with animals.
 It's a common sentiment among those who don't mind having sex, but it's hard to deny that the practice is a bit of a double standard, especially when the
 ","The last time I saw him was at his wedding in 2009. He was 93, his wife was 92, and they had two beautiful granddaughters living with them. He was wearing a very expensive diamond ring with a very high diamond value; the ring was made",Neither,4,4,,Neither,4,3,,B,4,4,,,,,,,,,,,,,39_413_780
"The road is a wonderful place to visit, and the weather is a delight for the eye!

The beautiful views of the stunning Himalayan Mountains are truly stunning. The best part about the trip to the beautiful Himalayan mountains is that you are in a","The road to a new era is always a long one, and the last year of 2014 was no exception.
 In the last year of his presidency, Barack Obama has made a number of important decisions that have helped to transform America's political landscape.
 ",Neither,4,5,,A,4,5,,A,4,4,,,,,,,,,,,,,35_176_283
"The chicken is cooked, then sliced and cooked again. The sauce is thickened, then strained.
 The chicken is served.
 The sauce, which is thickened and strained, is served.
 The chicken is served, then sliced,
 ","The chicken is a perfect combination of flavors and textures, with the perfect amount of flavor in between. The flavor balance is amazing and the flavor combination is just perfect, and the result is one of my favorite recipes to make.

This recipe was inspired by",B,1,5,,B,1,3,,B,1,4,,,,,,,,,,,,,18_367_50
"The painting is the work of the artist, David M. Grier. The painting was commissioned by the American Society of Civil Engineers (ASCE), which was founded in 1884 and is a not-for-profit organization. The ASCE has been involved
 ","The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant",B,5,5,,B,4,5,,B,4,4,,,,,,,,,,,,,2_451_192
"The pizza place is a great place to go if you're looking for something to eat and drink in a fun, laid-back atmosphere. We've got a wide variety of pizza toppings, and you can order your own or order from the restaurant's menu
 ","The pizza dough is very good, and I loved that it's vegan as well and that there's a great range of flavours. The best tasting pizza is the one with the perfect flavours, which is why I love the 'best of the best' tasting pizz",Both,4,4,,B,4,4,,Both,4,4,,,,,,,,,,,,,37_755_848
"The road to the top of the NBA is paved with success and failure.
 It's not just the top of the NBA that has been littered with failure.
 The NBA is a game of failure.
 The league's top teams have failed
 ","The road to a great performance.

The new NVIDIA® GameStream technology delivers the most powerful video streaming with the lowest latency ever. Get up to four times the performance for less than the price of a dedicated hardware GPU. It works like the latest cutting",B,3,4,,B,3,4,,B,3,4,,,,,,,,,,,,,33_745_508
"The potato is growing, the egg is hatched and the new year has arrived! I hope you enjoy it! It is a wonderful sight that shows that the technology is there! We are so excited about what they were to see on the way here!

","The potato is a great vegetable to grow. It's a great way to get a variety of fruits and vegetables, including tomatoes, peppers, carrots, cucumbers, and many others. It's also a great way to get some vitamins.
 It's
 ",Neither,4,5,,Both,4,5,,Both,4,4,,,,,,,,,,,,,5_840_193
"The city of Edmonton, AB is located on the edge of the Great Salt Lake in one of the most beautiful places in the world. With breathtaking views, breathtaking mountains, the greatest waterfalls, amazing snowfields and a plethora of amazing natural scenery, it's","The city of Vancouver, British Columbia, has announced that it will not accept any more homeless people from the area.
 The city's Homelessness Strategy, released last week by Mayor Gregor Robertson, states the policy is meant to prevent the spread of the
 ",Neither,4,4,,A,3,4,,A,4,4,,,,,,,,,,,,,23_206_709
The lake is a very special place and is the home to a number of amazing creatures including many of the best birds. The best of them are great to see with the naked eye in the sun. The great majority of these great birds are found on the Lake,"The lake in the area has been closed for the summer.
 The water is currently at about 3.2 metres (10 feet) below its normal level.
 The area has been closed to all but two motor boats for the time being.
 ",Neither,3,4,,A,3,3,,A,3,4,,,,,,,,,,,,,24_174_29
"The movie's soundtrack, composed by The Beatles, is one of the best of the '70s, and is one of the most important albums of all-time. It features some truly incredible music that's not available in any other format, and it is
 ","The movie's plot, the characters, and the music, have all been created with great skill. The acting is top-notch as usual, and even the voice-acting, which is excellent, has been a revelation.

There is a certain",Both,4,3,,Both,4,4,,Both,4,4,,,,,,,,,,,,,17_719_876
