"From files: pickles/science_pickles/science_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"In summary, research in recent decades has suggested that the presence of an organism in a population has a direct impact on the evolution of the population within that population, and that this evolution is mediated by a combination of environmental factors, including climate and population structure.
 The most widely accepted theory of how climate changes can have an effect on biodiversity is that climate control is mediated by the presence of species. This theory has been supported by the fact that there are many types of climate control organisms, and that most have
 ","In summary, the evidence presented here suggests that the risk factor for obesity in children and adolescents is not physical activity but rather the amount and type of food they eat (Table 5). Although the evidence on energy intake is limited because most of our studies are conducted in the general population, it is generally accepted that energy expenditure, including energy balance, is influenced by dietary energy intake and energy content. It",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,0_197_460
"To summarise:
 1. It is possible to build an efficient GPU for any application with no specialised knowledge of the GPU architecture and data structures and no specific knowledge of the GPU data type.
 2. The best possible performance is achieved when all data structures have a data locality.
 3. The optimal data type is the data type that provides data locality and data locality without data locality is optimal.
 There are two approaches for optimizing GPUs:
 1. Optimisation based on
 ","To summarise, it was an interesting experiment and a very useful tool. But we can never know exactly why.

This paper is not meant to convince anyone of the validity or even the utility of these techniques. We simply report results from an experiment that we did. In fact, it was just experiment after experiment that was used to verify that experiments are reliable. In the experiment above,",Neither,3,3,,Neither,3,3,,B,3,3,,,,,,,,,,,,,43_495_338
"To conclude, it would be helpful to note that there are no direct comparisons between the two types of data. This would help make it easier to understand, and more transparent for the research community.

This is a small sample of results from a few hundred papers, so there are likely many more. However it is a good example that shows the potential for data science data to help researchers understand","To conclude, it is important to note that, although the research presented here suggests that the effects of stress on the brain are more subtle than previously suggested, these findings do not exclude the possibility of a direct relationship between stress and the development of depression. Further research is required to elucidate the molecular basis of the link between stress hormones and the development of depression.
 Acknowledgments
 We thank Drs. Michael R. Purdy and Paul J. Koppel for assistance with laboratory analysis and Profs
 ",Both,4,5,,Both,4,5,,Both,4,3,,,,,,,,,,,,,31_838_827
"An illustration of the theory of evolution in evolution. Credit: © Science Photo Library/Shutterstock
 A new theory of evolution has revealed what evolution means for science and evolution research. It is a theory that could lead to a new science of evolution that could lead to new discoveries.
 The theory, called the ""Darwin's theory of evolution,"" was proposed by Charles Darwin in 1859 and published in Origin of Species. Darwin called it evolution theory based entirely on natural selection. Evolution theory explains evolution by
 ","An illustration of an inter-dimensional portal is shown in this file picture released by the Chinese Academy of Sciences on April 12, 2014 (AFP Photo/China Academy of Sciences)

Beijing (AFP) - The first phase of a project to map a universe where the laws of physics are applied in a universe with no gravity has been completed.

The research is based on a theory",Both,5,4,,Both,5,4,,Both,4,4,,,,,,,,,,,,,22_135_278
"Furthermore, the authors of this paper suggest that it is possible that the observed increase of energy density in the universe was due to the fact that energy from matter, such as energy contained in photons, is converted by the gravity of matter to energy, which is then released to the surrounding matter. In other words, if we assume a matter particle is able to absorb matter particles and energy, and energy is transferred to matter from matter particles, then this would mean that the energy density in matter is also increasing. The
 ","Furthermore, in his book The End of Man (2004), the physicist Stephen Hawking states that ""The future is going to be very different"" and, in this context, a very different kind of science is at the core of that evolution.

The Future

As I write this, the planet Mars, the third planet from the Sun, is about 5 billion years old. We are",Both,4,5,,Both,4,4,,Both,2,3,,,,,,,,,,,,,26_55_588
"To conclude, it's important to remember that the most reliable and effective tool for making informed decisions about medical treatments is research, especially research in the areas of clinical trials, observational studies and clinical trial design.

If you are interested in reading more, the best sources for research on medical treatments are the following:

References

The National Institutes of Health's website has an excellent summary","To conclude, I believe a strong theory of evolution can be applied to science and science to science. The science is not just based on science, science is based in science. And evolution is science.
 The science is not just based on science, science is based in science.
 The science is not just based on science, science is based in science.<|endoftext|>The first time I saw the movie, I was so confused. I had no idea what the hell it was trying to do. I had
 ",Both,4,2,,Both,4,2,,Both,4,2,,,,,,,,,,,,,30_818_603
"To review, we are a group of individuals who have decided to make our voices heard on the issue of climate change. We are scientists who are passionate about climate science but also scientists who feel passionately and urgently about protecting and improving scientific research. This is our first blog post, and we want to share what we do and why we do it.

Our research shows that climate change is already","To review, the first part of a series on how to get a high quality image with Adobe Photoshop. In this post, we will be covering the basics of using Adobe Photoshop CS6 and CS7.
 What is Photoshop? Adobe Photoshop is the world's most used image processing and graphics software. The software is used to create images in magazines, websites, movies, games, and more. It is also used to design, create, and publish images in print. For a beginner to advanced photographer, Photoshop
 ",A,5,5,,A,5,5,,A,4,4,,,,,,,,,,,,,16_780_541
"In brief, I am a research scientist at a research lab that focuses on chemical evolution in plants and animals. I have been working for many years on chemical evolution and evolution of evolution of biology, in which chemical evolution is used to understand how evolution works and how evolution works in biology.
 I am a member of the Society for the Study of Evolution and the Royal Society of Chemistry. I am working with evolution biology at the University of Cambridge to investigate evolution biology evolution in plants and animals through experiments using genetics and
 ","In brief, a ""super-sized"" (super-molecular) molecule has the energy of a million suns and can be made in a laboratory. It could be used to make a super-strong nuclear bomb. In a recent study, scientists from University of California, Santa Cruz, reported the discovery in Science.

A new study by a team of scientists at the National",Both,4,4,,Both,4,4,,Both,3,4,,,,,,,,,,,,,20_3_102
"Foundational to this is the fact that we are all born with the same set of genes and are born into a society with the same social system, which is based on the belief that everyone should have access to the same kind of life as others do. This idea is a matter of life and death for many people, but for most, it is the foundation of their lives. The fact that it is so deeply embedded in the very nature of our species is why it is so important that the theory be widely understood and implemented
 ","Foundational to this is a basic principle: we must know how to solve problems. If we don't have a way to understand the underlying physics of our bodies, it's very hard to do anything about them, and we can't solve problems unless we understand how they work.

In a similar vein, we're not just interested in understanding how physics works; we're interested in understanding",B,4,3,,B,4,3,,Both,3,3,,,,,,,,,,,,,14_823_506
"The relationship between the number of women and the percentage of women who report feeling threatened by men has been well established. In one experiment that measured how often women report feeling threatened by their peers, a group of female experimenters (N = 10) reported feeling threatened more often than the control groups. In a second experiment, participants reported their relationship with their partner as significantly worse when their partner had more women than men compared to when they didn't. Both experiments demonstrated strong evidence that women are perceived as threatening when their
 ","The relationship between the human body and its environment is complex and interdependent. The environmental factors influencing metabolism, such as oxygenation, carbon dioxide (CO 2 ), temperature, humidity, and temperature gradients, affect the metabolism of nutrients and proteins in the body. The effects of these environmental factors are mediated through the interaction of the cells with the cellular environment (i.e., metabolism, cell cycle",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,47_883_838
"More importantly, we can make it easier to track how people are spending money and what they're doing with it. The data we collect, and the way we analyze it, can help us understand how people's money is spent, where they are, and why. We need to understand where and when money flows, and what people spend their money on.

To do this I'm going","More importantly, he added, ""If you're going to go back and change the way we're doing this, you need to do it in an appropriate way, and you need to do this in a way that's consistent with what I believe the American people are going to be demanding.""
 The White House has not responded to a request for comment.
 Obama's comments were the latest in a series of recent efforts by the White House to address the fact that the nation does not have a national gun
 ",Neither,5,4,,Neither,5,4,,Neither,4,4,,,,,,,,,,,,,48_146_125
"In this essay, I explain that we should be very cautious about the concept of an evolutionary model because evolution is a theory that has to be proven and falsified. In order for the model to be tested, one must demonstrate that evolution does not occur. The concept of evolution has been used for many experiments that have shown that life forms evolve in evolution. Evolution is an idea that evolution has been","In this essay, the author explores a theory that suggests that the fact that people have different preferences about the nature of their own bodies is a consequence of evolutionary forces that shaped our biology and shaped our behavior. The theory suggests a biological basis for our preference for our own bodies, and that the theory may explain the existence of sex, gender, and sexuality. The theory also suggests that our evolution has shaped our behavior in a way that is consistent with the biological basis of our preferences for and desires for our own bodies.
 ",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,57_502_57
"To summarise, we have a situation where the majority of the world's oil is being consumed in one way and only using it to produce energy for electricity generation. This energy is not going to be used for heating, transportation, lighting, industrial processes, or any other purpose. This energy, being energy, is the fuel for nuclear, oil, coal, natural gas, and fossil fuelled energy","To summarise, here is what happened: the US and Russia agreed to reduce their military presence in Syria, as they had done in Iraq, Libya, Yemen, Afghanistan and elsewhere over the preceding few years. The US wanted the Assad regime to be removed as a result, in exchange for the Russian and Iranian support of a moderate, anti-regime opposition to the Assad regime. The US also wanted to keep control of some oil and gas fields, as well as control the Syrian airspace.
 In fact
 ",Neither,4,3,,Neither,3,3,,Neither,4,3,,,,,,,,,,,,,42_538_857
"It has been shown that cell-mediated inflammatory responses can increase the expression of genes involved in the pathogenesis of several chronic diseases. For example, the induction of cell-mediated inflammatory responses during pregnancy increases the number of cell-mediated immune cells in the placenta, and the number of cell-mediated immune cells in the placenta is correlated with the risk of preterm birth. In this study, we used cell-mediated inflammatory responses in mouse models of chronic disease to assess whether cell-mediated inflammatory responses can
 ","It has been shown that in the human retina the photoreceptor cells of the retinal ganglion cells (RGC), which are involved in visual perception, are sensitive to light, which in turn leads to visual acuity, which is important for the function of the visual system. However, it was not until the advent of cell-based photoreceptors which are made in vivo",Both,4,4,,Both,4,4,,Both,3,3,,,,,,,,,,,,,52_221_518
"In brief, it's the most powerful and powerful thing ever, the ability to see everything. And if we could see the Universe from a different perspective, we'd have some pretty exciting new ideas.

In fact, a study out of the US and the UK has shown that our perception of space is so accurate, we can see everything from light to gravity to matter and energy. And","In brief, the U.S. Department of Energy's (DOE) Energy Information Administration (EIA) released a report on the energy sector energy market on Wednesday. It provides data that show U.S. energy consumers are consuming more electricity than they are producing, and that the energy sector will be in a strong state of energy supply by 2045. The report also offers a measure of energy demand that is not yet in the data, including energy demand from electricity generation, transmission and distribution, and electricity
 ",Neither,5,4,,Neither,5,4,,A,4,4,,,,,,,,,,,,,19_624_611
"To summarise, the main points I've made in this post were that it is possible to create an application that can detect and respond to events, and to make this detection possible by applying various types of data processing techniques.
The above is based on a paper I co-edited in 2011, where I showed how data-driven research and data analysis techniques can enable new insights into human-","To summarise, the fact that a single element (i.e. an element with only two children) can be a member of a class (with a single constructor) means that you can pass in the data as a parameter to constructors of your class, e.g.
 public class MyClass { ... public void main(String[] args) { ... } }
 You can also pass in a data-type (e.g. int or String) which will be treated as an
 ",Neither,4,4,,Neither,4,4,,Neither,3,2,,,,,,,,,,,,,44_126_7
"Foundational to this is the notion of ""social capital,"" which is the capacity of individuals to have strong ties to and relationships with other social groups.
 In fact, social capital is defined as having an ""institutionalized capacity"" in the community, or in a place, to contribute to the health of the community.
 A good measure of social capital is the willingness of an individual to share his or her knowledge, skills and energy with others, as well as to take risks with their time and energy.
 ","Foundational to this is the idea that the human brain is a highly evolved and sophisticated machine. As you learn how to use this machine to make sense of and manipulate data, you become smarter, and more efficient in your daily operations of your machine. The ability to think about and solve problems and data science problems becomes easier for all of us with data science tools. Data science tools are becoming increasingly",B,5,5,,B,5,5,,B,4,4,,,,,,,,,,,,,12_837_628
"In this essay, we examine a number of historical cases of police brutality. We also examine how such brutality is related to the state's criminal justice policy: the war on drugs and the criminal justice system. We then look at how police use of force, particularly fatal force, correlates with state laws, and the role that policing and mass incarceration have in shaping this trend. Our data suggest that states","In this essay, Michael S. Williamson argues that the fact that science has become more and more integrated into the lives of people is the result of technological progress and, more importantly, technological progress alone.
 The fact that science has become more and more integrated with the human being has been the result of technological progress.
 I have argued that science as we know it has been the result of science as a science, that science as we know it was created in part with science as a science. The fact
 ",B,3,3,,B,3,3,,B,4,2,,,,,,,,,,,,,58_456_519
"Prior to this year's season opener against the Detroit Lions, the Seahawks had only two games this season with a winning record. In fact, the Seahawks have only one winning record this entire season since 2012, when they were still the Atlanta Falcons.
 So, is the team really that far back? In fact, the Seahawks' current streak of nine straight wins is tied for the second-longest active streak in the NFL.
 It's been more than five years since Seattle has had a winning record
 ","Prior to this week's release of the latest version of Android, a security vulnerability was reported that allowed an attacker to exploit the vulnerability in the way the app is designed and stored, making it possible to steal data, and then install it onto other users' devices without the user ever knowing. This is a huge privacy and security issue and Google has been working hard to fix it. The fix for",Neither,4,4,,Neither,4,4,,Neither,3,2,,,,,,,,,,,,,38_501_894
"The relationship between genetics, biology and climate change has been well documented. For example, climate change has been linked to an increase in the number of cases of the rare disease Crohn's Disease in the United States, which is caused by an overgrowth of a particular type of bacterium. A study published in the American Journal of Human Genetics in 2011 found that a mutation in a gene that causes the disease in humans is associated with a higher risk of developing it. The study also suggests that the evolution of this
 ","The relationship of a single-cell organism to multiple cell types in the body has long been considered an important aspect of cell biology. The role of the cellular environment in regulating the expression of the cell's functions is also well established.

The cell cycle and cell division is a complex process. Cell cycle genes regulate cell division and differentiation, and their expression and function in cell cells are regulated by",Both,5,4,,Both,5,4,,Both,5,3,,,,,,,,,,,,,46_261_292
"The issue focused on a single issue, but there are several that affect our lives as well:

1) the environment. We live in the world that is increasingly dependent on fossil fuel energy. We are the main cause of CO2 concentrations rising over the past 30 years, and we are the biggest polluter in the world.

2) the climate. We must adapt to climate","The issue focused on the fact that the government had not provided an explanation for why they had been unable to provide the information to the public in response to an RTÉ Freedom of Information request.
 ""I don't think we are in a position to comment at this stage,"" Ms Heneghan said.
 'The Government should be held to account'
 Mr O'Brien said he believed there had never been an opportunity for the government's department responsible for public information to provide information that should have been
 ",Neither,3,2,,Neither,3,2,,A,3,1,,,,,,,,,,,,,54_686_201
"In this essay, I will try to explain a theory of science which is sometimes called ""the theory of evolution."" I will also attempt to explain why evolution cannot be explained by science. This theory, I believe, can help to answer some of the problems associated with evolution and evolution in general:
 1. The theory fails to account for the theory of evolution and evolution in general.
 This theory fails because its theory of evolution does not adequately explain evolution itself. The theory of evolution cannot explain evolution because
 ","In this essay, you will learn about what is meant by the ""social justice"" term ""justice"" and how it can be defined in a number of different ways: from a scientific perspective, from a moral, and from a social perspective.

The Science of Social Science

Social science is science concerned with the study of behavior and its consequences. It studies human behavior by examining data",Both,3,4,,Both,3,4,,A,3,4,,,,,,,,,,,,,59_559_438
"This essay discusses the origins, evolution and impact of mass media in modern society. The main argument is that it has been the product of a process which has involved, as we shall argue, mass media, mass society, mass media education, mass media mass production, mass media media mass consumption, mass media mass mass production, mass media mass consumption, mass media mass mass consumption, mass media mass consumption, mass media mass production, mass media mass production, mass media mass consumption, mass media mass production, mass media
 ","This essay discusses a new theory of human sexuality, developed by the late Dr. Steven Pinker. In it, he argues that humans, and all other mammals, have evolved a complex system of social and sexual selection in which we all are born with the capacity to experience sexual desire, but that in evolution, sexual preference has evolved in tandem with the evolution of the human sex chromosome. The evolution",B,2,4,,B,2,4,,B,1,4,,,,,,,,,,,,,4_819_678
"The connection between the two worlds was made clear when the first of the two stars (V X M) became brighter (1.4 billionths of a degree Celsius) and became a supernova (about 1.1 billion times as intense) in the early universe. It has a mass of about 1,500 solar masses, the mass of the Sun combined and the mass density of matter (","The connection between genetics, biology and politics can be seen in two cases: the ""genetic arms race"" and the ""genetic arms race to control"" (or at least control evolution).
 The first example of this is the ""genetic arms race"" to control evolution. In the early 20th century, a number of researchers tried to understand the genetics of human evolution, which they believed to be the result of the evolution of a group of people who all shared common traits, such as their
 ",Neither,4,4,,Neither,4,4,,Both,4,4,,,,,,,,,,,,,9_360_717
"This essay discusses a recent study from the Department of Public Health and Environment, which showed that the use of fluoride to treat tooth decay has reduced the risk of cancer by about 50% compared to untreated fluoride in the water.

Fluoride is a highly toxic chemical used in dental care. The most common form of fluoride toxicity is dental fluorosis (DFCS) (refs","This essay discusses the relationship between the concept of a mass of matter and the physics of mass. It also describes the laws of motion and describes how mass theory explains mass and energy.
 The mass of a volume is often called the volume's mass (or volume mass). However, the volume's mass is not the mass itself (i.e., mass in volume does not equal mass in volume); instead, volume mass is the volume mass plus gravity mass plus inertia mass. In fact, gravity mass equals mass
 ",Both,5,3,,Both,5,3,,Both,4,3,,,,,,,,,,,,,5_840_193
"The central theme of the current debate over the efficacy of vaccines in humans and other animals is the potential for a causal interaction between a host of biological mechanisms and the vaccine itself. The immune system, for example and in many other animal species, plays a key role in maintaining the immune cell and cell function. A number of factors may be involved in cell cell function including cell adhesion molecule, cell","The central theme of the new film, which will also be released in North America on November 17th, is that of a family that, through an unfortunate series of circumstances, ends up at the bottom of the social ladder, having to fend for themselves on the side.
 ""I'm really proud to have this film, this family's story, that's going to be told, and it's also going to be a part of the larger narrative of this family's evolution, because we see this family grow
 ",A,3,4,,A,3,4,,A,4,3,,,,,,,,,,,,,28_606_33
"In brief, the theory of evolution explains how evolution happened. It explains how evolution happened, by evolution.
 The theory of evolution is a hypothesis that explains, or attempts to explain, evolution:
 The theory of evolution has been proposed to explain evolution, and to have implications for science.
 The theory of evolution is a hypothesis that explains evolution, and has implications for science. The theory of evolution has been proposed to explain evolution, and has implications for science. The theory of evolution has been proposed
 ","In brief, a group of scientists have discovered a new class of chemicals, called biochemicals, which may be able to change our biology, as they are capable of altering the molecular structure and functioning of our cells.

Biological chemical changes are thought to be caused by changes within the cell, and are the result of biochemical reactions between chemical molecules (or groups of chemical molecules), chemical",Both,2,4,,Both,2,4,,Both,2,4,,,,,,,,,,,,,18_367_50
"The key aspect of a well-run city is its ability to keep its residents healthy and fed; a measure that can be measured in a variety of ways, such as how much electricity it produces and how much it saves, according to researchers at the University of California, San Diego.
 They looked at data from the U.S. Census Bureau for the period from 1980 to 2014. They found that for all of the U.S. counties in their study, energy-efficiency measures were associated with greater
 ","The key aspect discussed in this section is that it is the role of the ""invisible hand"" to determine whether a given event is likely to be an effect. For example, a phenomenon in quantum chemistry could be related to a particular energy state of a substance. The energy state can be measured in the form of the mass, electron orbit mass and energy density (E-O) of that",B,4,4,,B,4,4,,B,3,4,,,,,,,,,,,,,33_745_508
"More importantly, the new law does not affect the ability of the U.S. military to operate in Syria in the near future.
 The Pentagon is already conducting operations against ISIS in Syria. In fact, in a letter to lawmakers on Wednesday, Secretary of Defense James Mattis said, ""the military is fully prepared to take action in order to stop ISIS from establishing a safe haven in Syria.""
 But the new law, which will go into effect on March 8, is unlikely to make it easier for
 ","More importantly, he's got an eye for talent.

""I think he's going to be very productive for a long time,"" coach Bob Murray said after his first practice.

That statement is an important part of what makes a good coach, but it can also be confusing.

""What we're going to do is we're taking a look at everything, we take",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,50_789_774
"Views on how a ""good"" president could help improve the country are divided, but a few common threads emerge.

President Barack Obama has made his reputation by pushing for climate action — a goal he hopes to bring forward in the coming year and, if successful, to bring to the international climate talks in Paris by the end of this year. He has also made climate change a central","Views on the matter of the control of the weather are divided into those who believe that climate changes have no effect and those who believe climate change will cause weather disasters in the future. However, a number of climate scientists believe that climate change can have serious impacts on weather events such as droughts, heat waves, heatwaves and extreme weather.
 The weather scientist who conducted the research on climate research has argued that climate change may lead to weather disasters due to increased heat waves, floods and storms which would
 ",Neither,5,4,,Neither,5,4,,B,3,4,,,,,,,,,,,,,6_4_681
"Views on the subject of abortion are divided on social issues, and even among religious groups. On the other hand, there are many women, who, in their desire for a child, are simply willing to have a child that is biologically male, and they feel that if they can't afford the medical expenses associated with that child, then their right to choose is infringed. The Court has","Views on the use of chemical weapons by Syria's government and the opposition have risen sharply since chemical attacks began on August 21.
 At least 87 people have died in chemical weapons attacks by government forces and the opposition, according to activists.
 The U.N. says the chemical weapons attacks in Syria are ""a clear violation of international law.""
 The attacks have been blamed on President Bashar al-Assad's government.
 Syria's chemical weapons were allegedly used against civilians in an August 21
 ",Neither,4,4,,Neither,3,4,,B,3,4,,,,,,,,,,,,,7_168_95
"In summary, the data from the research is consistent with the hypothesis that children with autism spectrum disorders are at higher risk and that these risks may be mediated through genetics.
 The results of the study are consistent with previous research. In fact, research published in 2008 showed that the risk for developing autism is higher in children diagnosed as being on the autism spectrum. This research also suggests that genetics may play an important role in causing children who have autism spectrum disorders (ASDs) to have ASD. However, these
 ","In summary, we conclude the current research shows that the effects of the diet of low fat diets may be beneficial, but that there may be limitations in the current data.<|endoftext|>The following are the current status of a proposed rule change to the state of Delaware's energy efficiency regulations in light of a new report by an Energy Department research agency.

The Energy Department report, Energy Efficiency Research and",Neither,4,4,,Neither,4,4,,Both,4,4,,,,,,,,,,,,,1_213_246
