"From files: pickles/military_pickles/military_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"An illustration of the Earth and the Moon with a solar eclipse over it. Credit: NASA/JPL-Caltech/UCLA
 An eclipse happens when the sun's path crosses the path of the moon and it is seen as a single image on the sky. When the sun crosses the path of the moon, Earth appears to be in front of the moon and the moon appears to be behind Earth. When the sun passes directly over the horizon and disappears completely, the moon appears completely behind Earth and we
 ","An illustration of the proposed Trump National Golf Club in Virginia in July. AP Photo/Carlos Osorio

Donald Trump's new hotel has been criticized for its low rent prices, a lack of amenities and its poor maintenance. Trump himself has called the property ""a disaster,"" and the Republican nominee recently threatened to pull out of the Paris climate summit. But the president-elect says he will",Neither,3,4,,Neither,3,4,,Neither,2,4,,,,,,,,,,,,,22_135_278
"Furthermore, the commission of these offences is not only a crime against humanity and an act of war, it is also a war crime.
 The commission, which has been convened by Secretary General of the United Nations Ban Ki-moon to consider the situation of the world, said on Monday that the commission's investigation is ongoing, and further information about the commission and commission members has not been received.
 The commission's commission of inquiry on the alleged war crimes committed by the Iraqi authorities in March 2014 in
 ","Furthermore, as the report explains, the study shows that a high-quality and affordable health care system is essential if the U.S. wants to remain competitive internationally.

""The health care delivery system is a critical infrastructure for American and American-led forces to maintain security, deter conflict, and protect critical infrastructure,"" the report said.

WASHINGTON — A former Pentagon official who served",Neither,2,5,,A,2,5,,A,2,4,,,,,,,,,,,,,26_55_588
"To conclude, we are not aware of any significant changes in the number of deaths of young people in hospital due to drug overdose.<|endoftext|>This is not to say we aren't aware of all issues, but we don't have access to the full report on the subject.

In the report we do not discuss any specific policy or the impact of the drug war on our communities.

","To conclude, I believe a major mistake was made by the Obama Administration in trying to use military force in Syria. The attack on an air base by the Syrian government military was in violation of numerous international and domestic laws, including the UN charter and the UN Charter.
 I believe that the attack on the air base, which the US Government has described as an act of war, was a military attack on a military base. It was an attack on the base, not the command headquarters.
 The attack
 ",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,30_818_603
"To review, a group of researchers from the US, Russia, China, and India came up with an ingenious and effective way to detect whether a target is a drone that was being flown or carried into an air base.

The researchers used a technique called the ""spoofing radar"" to create a false image of aircraft approaching in an area where radar is not present.

When","To review, the first part of a series on ""the world of war,"" which includes military tactics, tactics and tactics, tactics and tactics.
 I am often asked why war is war. The military is not, after all the military is not a war.
 The war is war if the enemy is in a position to attack or defend himself. But war is war if the enemy's attack or defense is in a position to win or defeat the military force that the army is fighting.
 ",Both,5,1,,Both,5,1,,Both,4,1,,,,,,,,,,,,,16_780_541
"In brief, I am a major fan of a certain company called VivaTech. It's not that I am a company person; it's just that they have been my company for quite a long time. In fact, I have been with them since 2006. They were founded in the UK. In the mid-90′s, I was in the company's IT department and I started using them as my backup company. I remember when they launched their cloud computing service, they had only just begun rolling out
 ","In brief, a few weeks ago, we wrote about a proposal by the European Commission for a new ""trans-Atlantic"" banking framework. It was an important step in the process, but it left a lot of questions unanswered about how banks might operate on the European financial system, and the future of the European Central Bank, which is the central planning body for Europe. This proposal has been a",Neither,3,4,,Neither,4,4,,Neither,3,4,,,,,,,,,,,,,20_3_102
"Foundational to this is the fact that we are all born with the same set of biological traits and our brains are designed to adapt to our environment, whether it's a warm climate or an icy ocean. It's not the environment, but the biology that determines how we will respond, that's the key to understanding the brain.
 We can only hope that this study will lead to new ways to treat neurodegenerative disease, to prevent or treat neurodegenerative diseases and, hopefully, to prevent other degener
 ","Foundational to this is the fact that in every single one of the wars since 1945, we have lost more men and women than we have won and, in the case of Vietnam (which has seen a lot of conflict over the years), more than twice as many American soldiers as our allies. The U.S. Army lost a total of 1,853 combat casualties in Vietnam between 1950",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,14_823_506
"The relationship between the number of women and the percentage of women who win elections is not unique to America. The same can be said about many countries around the world.
 The relationship between the number of women and the percentage of women who win elections is not unique to America.
 The number of women in the workforce has been growing for several decades, according to the Bureau of Labor Statistics (BLS.) And while the proportion of women employed has steadily climbed from about 40 percent (as recently as 1990
 ","The relationship between the United States and Canada is the strongest it's ever been, yet it continues to be a source of tension.

It began with the United States withdrawing from the Paris climate accord. Now the Canadian government wants to pull out of the agreement in its entirety.
In an unprecedented move, Canada's military will deploy its CF-18 fighters to the Middle East to fight Islamic",B,3,4,,B,3,4,,B,4,4,,,,,,,,,,,,,47_883_838
"More importantly, it would be a victory for all of America's gun owners. It is the only way to stop the carnage we have seen in this country in the last few years.

I have been a gun owner my whole life and have always been a strong advocate for the right of people to keep and own guns, as well as the rights of law abiding citizens to carry a gun","More importantly, he added, ""If you're going to kill somebody, kill them. If you're going to kill someone, kill them. That's what the American system is supposed to teach us, right? And if it doesn't teach that, then the people in the street will kill them for you.""
 But, in reality, he said, the gun laws in the U.S. ""can be used by the police to kill people.""
 ""You shoot them, you kill them
 ",Neither,5,3,,Neither,5,3,,Neither,4,4,,,,,,,,,,,,,48_146_125
"In this essay, I discuss the historical relationship between the US Navy's Naval Air Forces and its allies. The United States had the largest navy of the world at the beginning of World War II, and the Navy was one of America's most potent weapons. But the war also exposed the Navy to danger and its pilots suffered. In the years that followed war, naval pilots suffered many losses, both","In this essay, the author explores a question that has been on the front burner for several decades now, whether or not a major change to the US Constitution can be justified as being necessary in light of the current state of the nation. While it's difficult to know what a major change to the Constitution could be, I think a major change of any kind would be necessary to bring about a major shift in the general state of the US and its political institutions.
 The general state of the US is one that
 ",A,5,5,,A,5,5,,A,4,4,,,,,,,,,,,,,57_502_57
"To summarise, a lot is going on here. This is just an attempt at an overview, as the game is still in beta testing.


The first thing to understand is a lot of things that you can do in combat are dependent on what weapons you have equipped, and some of the weapon effects are random.

A lot of weapons and abilities can be triggered when you kill","To summarise, here is what happened: the company that makes this device was bought and shut down by a major company. The company that made this device was also bought and shut down by major company, who also shut down the company that makes the device.
 The company that makes the device that was bought and sold was the same company that sold the device. So the company that made the device that was bought and sold was the same company that sold the product to the major company.
 This is
 ",A,4,2,,Neither,4,2,,Neither,4,2,,,,,,,,,,,,,42_538_857
"It has been shown that women in general engage in higher levels of physical activity than men.
 But is that really the case?
 A recent study published in the International Journal of Epidemiology looked at how long it takes to burn off fat, and found the women in the study were just as likely to burn off the excess as the men.
 This is surprising to us.
 We think of fat as an energy source in its own right.
 It can burn off in the form of
 ","It has been shown that a significant amount of money can be made on the Internet, by anyone who has a credit card, or with a web browser, or a search engine. This is especially important now because of the growing number of people who want to use the Internet to make money and do illegal things.

The most important element involved is the person who owns the company. The person",Neither,3,3,,Neither,3,4,,Neither,3,4,,,,,,,,,,,,,52_221_518
"In brief, the new model was designed to be as easy as possible for a driver to operate in the event of an accident.

""I was very surprised when they started showing them. I have never seen anything like them before, except for a small one-off fire. The one we found on fire had a gun in the magazine. There was nothing in it for it, so","In brief, the U.S. military has spent over $1 billion on intelligence and surveillance technologies, including drones, that have been used for combat missions. The Pentagon has even deployed troops and equipment to fight in Syria, according to Reuters.
 The U.S. military and intelligence agencies have been bombarding Islamic State targets for years and are now looking for new ways to attack the terrorist group, according to the New York Times.
 The military's intelligence gathering and warfare tactics are being tested by
 ",B,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,,19_624_611
"To summarise, the data shows that there's a large range within any particular group of people from being more likely to experience depression to being less able to do so. However this isn't necessarily a problem in themselves. We can learn about the strengths and weaknesses of the people we surround ourselves with, which can then influence how to improve their health.

In terms of mental health, a","To summarise, the first step to combatting climate change is to leave carbon dioxide (CO 2 ) in the atmosphere, but that is no easy task. It takes time and resources to capture and store carbon. It is therefore important not to leave CO 2 in the air.
 It has been known for some time, but it was only recently that the concept of 'carbon capture and storage' was proposed.
 A major advantage of CO 2 capture and storage is the ease with which it can be
 ",Neither,5,3,,Neither,5,3,,Neither,4,3,,,,,,,,,,,,,44_126_7
"Foundational to this is the assumption the intelligence base is uniform across the population in general. It is not. In the past, intelligence has been highly variable across countries and in different ethnic groups (as discussed above) but it is still the case that intelligence in general is not uniform in the population.
 The general intelligence test, known as the IQ test, was developed to capture general intelligence. The intelligence test was created as a general intelligence test and was used in many countries around the world until the mid-1990s
 ","Foundational to this is a theory known as the 'law of small numbers'. The idea is very simple: If the total of all things you want to build is a small set of variables, then you can build all the other variables as well. This is a simplified version of the formula for unit cost, and the basic formula will be in unit of $ units/unit of unit, $",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,12_837_628
"In this essay I am going to describe the methods used by the US and European intelligence agencies to gather information in order to prevent a potential terror attack by foreign fighters or sympathizers. It is a method that many in the US intelligence community would prefer to not be used to fight terrorism in a military context.

This article will be a bit longer than the typical article, but there is one","In this essay, Michael S. Williamson argues that the war on drugs has created a ""culture of violence"" that has become more intense in the wake of war, and that this conflict has resulted in a culture of war against the poor. This is an analysis of the war on drugs and the war on drugs in general, which I have argued is an attempt to fight poverty by making war on poverty an explicit part of the war on drugs. I will defend this view by showing how drug war policy has made war
 ",Both,4,4,,A,4,4,,Both,4,4,,,,,,,,,,,,,58_456_519
"Prior to this year's major league playoffs, we asked you to rank your favorite teams. We've done the same for the 2015 World Series, which we'll be tracking through April 14. Today, the Dodgers are the favorites, but it's a close race, and the division races are even closer.
 In a division of the playoffs, it's easy to forget who's in the race. We're looking for the Dodgers, but we also want to know what the Giants would do. We're going
 ","Prior to this year, we had no idea that the government agency tasked with monitoring and monitoring our privacy was going to start monitoring us. But the new report by the ACLU reveals just how pervasive the program is in the private sector -- as the feds go from collecting your data to collecting it from the private sector. And while the NSA's program of collection may not involve the NSA itself, a former",Neither,4,3,,Neither,4,3,,Neither,4,3,,,,,,,,,,,,,38_501_894
"The relationship between gender, sexuality and violence has long been recognized as an important determinant of sexual violence, but this study provides the first general overview of this important relationship in men who experience intimate partner violence (IPV). A total of 8,843 men in the US participated in the study, with a mean follow-up of 12.6 years. The participants were aged 18-65 years and were recruited from the general population of the US. They were excluded from other forms of sexual violence. The
 ","The relationship of the American people to government is one of profound distrust. As the nation is increasingly controlled by a large, unaccountable military force, the people are less likely to have trust in government, and they are also becoming increasingly alienated from political leadership.

A new national public opinion survey by the Pew Research Center shows a deep divide between the military and the civilian workforce. In a series",Neither,5,5,,B,5,5,,B,4,4,,,,,,,,,,,,,46_261_292
"The issue focused on an alleged rape in New Orleans, and was followed by other incidents of racial violence across Louisiana, from Baton Rouge to the south side of Baton Rouge.

Police are still investigating the incident in Louisiana's Third Ward where one person was shot and killed.

The shooting happened around 11 p.m. at the intersection of Jefferson and Jefferson in the 4500 block of","The issue focused on the fact that the company had a contract for more than $500 million with the military to build a military base in Afghanistan that had been canceled because of security concerns.
 ""I have been working with them to see if we can find another base,"" Mr. Trump said during a private meeting with Mr. Mattis on Friday.
 The military base has been one of Mr. Trump's biggest applause lines at campaign rallies. It includes barracks housing troops and is near the headquarters of NATO ally Turkey
 ",B,5,5,,B,4,5,,B,4,4,,,,,,,,,,,,,54_686_201
"In this essay, I will try to explain a simple but powerful principle that allows me to create my own generalization of the idea of general intelligence: intelligence can be represented as the sum of the individual's knowledge and skills.
 In particular, if general intelligence can be represented with a uniform number of generalizations, this implies that the generalization of intelligence is uniform across all individuals. This generalization holds true regardless of how much intelligence we have or where intelligence resides.
 In general: intelligence cannot be
 ","In this essay, I explain that we should be very cautious about the concept of an abstract idea being abstract, and how this might be used as a rhetorical device to promote one specific view. I show how we might use abstract ideas as tools of conflict resolution, and how this might not be so useful after all.

I think we need some form of war in the Middle East. The",Neither,4,5,,Neither,4,5,,B,3,4,,,,,,,,,,,,,59_559_438
"This essay discusses the origins, evolution and future of the idea of war and peace.
 It is a question that has long troubled me, especially when it is brought up by politicians and pundits.
 The war question in America is one of war and peace, of the conflict between two major political parties, of a peace-building strategy. The war question in Britain is one of war and peace, of war and peace in the British military, and of how war and peace might be better understood in the
 ","This essay discusses a common misconception, and what we can do about it.

There are many misconceptions that come to mind when thinking about sex workers:

""It just isn't my place to talk to the cops."" ""I'm a sex worker and I'm scared."" ""I have a right to privacy!""

That is, unless you happen to own a firearm. If",Neither,3,4,,A,3,4,,A,3,3,,,,,,,,,,,,,4_819_678
"The connection between the two worlds was made clear when the first of the two vehicles appeared. The first of two armored vehicles, the ""Titanic's"" armored personnel carrier (APC), which arrived in the airfield on March 14, 1945, was fired at an incoming U.S. B-29 bomber.

The crew of the destroyer and the aircraft carrier, which also","The connection between religion, politics and social justice was not always clear to us.
 We were not religious. We were not political. But we did not see religion as neutral. Religion was, at its heart, a force in social and political life, a force to force people to think and act in service to one's own beliefs. It was in the nature of religion to be an agent of change.
 This is what we see in the work of the Church's social action unit, the
 ",A,4,4,,Neither,4,4,,A,4,3,,,,,,,,,,,,,9_360_717
"This essay discusses what a ""normal"" human body might look like in relation to a given person. It does not consider the effects or limitations of body modification and includes references to other articles on body modding in general.
This is a list of articles, videos and other material that are related to body modification. This includes those that are legal in the States, but not necessarily in the UK","This essay discusses the general idea of the general law of general relativity and its implications for our understanding of our world. I will first describe general relativity as it relates to general relativity theory, then I will present an alternative approach to general relativity based on general relativity theory that does not rely on general relativity. The general law of general relativity has a major impact on our understanding of general relativity theory. In particular, general relativity predicts that general relativity theories will not explain everything about reality. I will show here how general relativity theory
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,5_840_193
"The central theme of this week's episode is a new one: that a new generation of young people has begun to take to the streets and the streets of the nation. It is time. They must have a voice.

The episode starts with a scene of a young woman with dreadlocks, a man and a child sitting outside the front door of their home, with a gun drawn.","The central theme of the new film, which will also be released in North America on November 17th, is that of a group of people who have decided to leave their jobs and leave their cities to live in the wilderness, where they leave behind what they can, and the only way to survive is to find other people who are willing to give them the chance to leave their jobs and start their own businesses.
 ""I was really surprised that people were able to take this on,"" says director James Wan.
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,28_606_33
"In brief, the military-industrial complex is an arms company with arms for sale.
 In the war on terror, it's the military industrial complex that is being paid for war. According to a recent report by The Center for Public Integrity, ""the U.S. military has spent more than $2.1 trillion to fight terrorists since Sept. 11, 2001; that's an average of $1.3 billion per day.""
 In other words, the military industrial complex is the military-
 ","In brief, this is a simple example that uses the standard C++ templates (i.e. std::vector, std::vector_view or std::vector ) and an arbitrary range (0 to 1000000) to initialize a new range, using a default template.

The range template is a member function with the type int . It is defined in template <class R, class",A,4,3,,A,4,4,,A,4,3,,,,,,,,,,,,,18_367_50
"The key aspect of a good defense, however, is to not be too predictable. You must defend the offense with your best player, the guy who makes the defense better. That guy should attack the defense and make it a battle. When it comes to defense, you are going to be playing defense with a guy who can do it all. You can attack the offense with your best player, but not with one that is not. The defense is going to make you better and the offense will make you worse.
 ","The key aspect discussed at this meeting is not only the need for more women and minority groups but also how best to address them in the current environment of gender stereotyping. The discussion focuses on the role of gender stereotypes and violence against women (GBW) in the military, and how it can be mitigated through training and education. In addition, participants from various military units and combat brigades",B,5,4,,Both,5,4,,Both,4,4,,,,,,,,,,,,,33_745_508
"More importantly, the new system would be able to identify and treat a wide range of illnesses from asthma to diabetes to cancer, said Dr. Robert Baskin, chief medical officer at the National Cancer Institute.
 ""If you take the best available technology, you are going to be able to identify a whole range of these diseases that are currently underdiagnosed,"" he said.
 But there is some question as to if the system will actually work.
 For one thing, the company has yet
 ","More importantly, we can make it easier and safer for all. We've already made major improvements to our safety systems to ensure that our people and the people in charge are as safe as our military. We are also taking steps to strengthen our police and fire departments, including hiring more officers from the community and investing in police technology. Our officers and soldiers have made countless sacrifices to defend our freedom,",B,5,5,,Neither,5,5,,B,4,4,,,,,,,,,,,,,50_789_774
"Views on the issue by both sides are based on a misunderstanding of what the bill will actually do.

It will not allow anyone to be killed by an automatic firearm without getting first a court order that they can be prosecuted or that someone else is responsible.

If the bill is approved, the bill says, people who are shot or wounded by firearms will have their guns taken away","Views on the issue of war crimes by the army and military intelligence service were so mixed that there was no real agreement on the scale of war crimes committed during the conflict. The military commission of war crimes in Iraq was unable to come to a consensus on war crimes committed during combat and the commission of war crimes in Afghanistan was hampered by a lack of military intelligence.
 The commission of war crimes is currently conducting hearings on war crimes committed by the Iraqi army during Operation Iraqi Freedom and is examining intelligence failures during the
 ",B,4,4,,B,4,4,,B,4,3,,,,,,,,,,,,,6_4_681
"Views on a new poll that shows Hillary Clinton beating Donald Trump on the issue of guns by a wide margin are not likely to change the way many people vote, according to a pollster.

A new survey from YouGov, which was conducted between September 14 and 15, shows that the Democratic front-runner has a slight edge on the issue of gun control, but that it's","Views on the use of force, gun violence and military service
 by David Ralston, Professor of History, University of North Carolina at Chapel Hill
 In recent decades, military service has become a major part of the cultural narrative of American military history. A major reason is that military service in general and military service in particular have become an essential part of American society.
 As military service has become a major part of American society, it has also become more and more associated with military service itself
 ",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,7_168_95
"In summary, the current state of the game is that you need to win the fight and win it quickly. The fight is always going to be close but you need to win it fast.
 In general, you have a lot of options when you win the fight but the most effective way to win is to kill enemy heroes, kill enemy towers, kill enemy barracks, kill enemy barracks. If your enemy dies you win. If their enemy kills them then win.
 This leads us down into the
 ","In summary, it seems that the majority of our current crop of anti-government militia-style groups and their supporters are largely comprised of former military men, who are now working to turn their guns in the face of the federal government (including police officers and military equipment) in their own right.

This is, in a word, dangerous. It's not only unconstitutional to arm a military",B,4,5,,B,4,5,,Both,4,4,,,,,,,,,,,,,1_213_246
"This essay discusses the major issues raised in an interview with the author, who was born in Germany but has lived in America for over 20 years. The essay is based on an extensive discussion with an American friend of the author, which was transcribed by me.
 ""The war of invasion was not a war of liberation""
 The war of invasion was not a war of liberation. It was a war of invasion, a war of occupation of the enemy's territory in the Middle East. It was war
 ","This essay discusses the nature of political violence and the consequences for the people involved in it. In particular, it discusses what it means to be a ""militant""; how a war is defined; and how, in the context of warfare, the ""warfare"" itself should be understood and defined. This essay, as an exercise and exercise-related exercise, should not be performed during military",Both,3,1,,B,3,1,,Both,3,4,,,,,,,,,,,,,3_65_860
