"From files: clickbait_pickles/clickbait_1_R.p, clickbait_pickles/clickbait_1_A.p, clickbait_pickles/clickbait_1_R,B.p, clickbait_pickles/clickbait_1_A,B.p",,,,,,,,,,,,,,,
A,B,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Gabe,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Prabha,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,,,
"The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This",The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,neither,4,4,,B,3,5,,B,3,4,,,38_384_102
"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option",The chicken industry has had its hands full in the last few years with the ever-changing and rapidly growing food and grocery-shopping-golf. The town of New York City is one of the most famous and widely-visited of the world's,A,3,3,,A,2,3,,A,3,3,,,5_580_759
"The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.","The chickenpox virus has been found in the brain of a 14-year-old girl who died of chickenpox, according to the first scientific evidence of the disease in humans.

Her case is the first to have been reported in the UK.
",B,3,3,,B,2,3,,B,2,2,,,3_58_412
"The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.",The painting by William Morris depicts a man wearing a mask and looking out of the window of a building. The building is filled with people in suits and women in dresses. The man is talking to a female figure with a mask on top and an umbrella. A,neither,4,5,,neither,5,3,,neither,3,4,,,13_862_596
"The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported","The pizza dough can be made by using the following ingredients in order and with some simple modifications.
It's time to learn the secrets of how to use a food processor or machine to make pizza dough. Here we will show you a few tips you can use",A,4,4,,B,4,4,,A,4,4,,,20_280_899
"The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L","The painting, the ""The best way to get to the top of Mount Sumerum, is with the Kuru-e-I-te. The Kuru-e-I-te is the only place in the mountain where the Kuru-",A,4,2,,neither,3,1,,A,3,1,,,12_270_461
"The chicken-and-egg question: How do you know when a restaurant is in decline?

If a restaurant's food is no longer fresh and good, that's bad news for your health. But that doesn't mean there's an easy way to","The chicken salad that everyone loves: What's in the food?

If you want to make a meal that is truly special and unique to you, you can't make it by eating everything. It's not a matter of how many vegetables you can eat",B,4,4,,B,2,2,,B,3,3,,,3_849_227
"Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife","Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife",neither,4,4,*,neither,3,3,,neither,4,4,,,10_744_750
"The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that","The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just",A,5,4,*,A,4,4,,A,4,3,,,2_635_722
"The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in","The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee",neither,3,3,,neither,4,2,,neither,2,2,,,22_385_166
"The food industry is growing fast: From $7 billion in 2009 to $10 billion in 2012. The food industry now spends about $1.25 billion a year on marketing—a $100 billion increase since 2008.

The growth of the food industry","The food was delicious and so simple and I loved it. But it didn't taste like anything you would expect from an actual food product, it smelled like a restaurant that has never had a meal before. So, I was expecting the worst, but it turned",B,3,4,,A,4,3,,A,4,3,,,15_580_695
"The city is trying out a new way of dealing with the problem of crime and punishment. They're not going to use the same old, tired approach that's been tried and tested before, but they're trying something a little different. They're going for something","The city of El Alamein was struck with a massive meteorite, which has been found by a meteorite meteorite meteorite was found on the ground and sent to NASA by the American Astronomical Society in the late 20 th century

This is",neither,5,1,,B,4,1,,A,3,2,,,40_799_97
"The movie's plot is pretty simple: a girl who was bullied by her teacher for being fat is told that her best friend is actually fat and she needs to lose weight to get accepted.

This story is about a girl who's told her friends that","The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However",neither,3,4,,B,3,4,,B,3,3,,,27_107_798
"The movie is actually called ""The Movie"".

I've never even heard of the person behind the name, because the movie is not a real person, but rather a fictitious movie.

I was thinking I'd have a go at trying and making","The movie's premise is simple: a man is in love with his own daughter. But he finds out she's gay. He then has to choose a partner and find out how that person views his daughter.

So, he's going to have to",neither,2,4,,neither,1,3,,neither,2,3,,,28_613_307
The chicken industry has had its hands full in the last few years with the ever-changing and rapidly growing food and grocery-shopping-golf. The town of New York City is one of the most famous and widely-visited of the world's,"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option",A,4,3,*,B,3,2,,B,3,3,,,5_439_346
"The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was","The city of Bordeaux is about to get a little more than it bargained for, with a new report claiming the city's largest private fish farm could be sold for an incredible $1.2 billion. That's the amount of money a group of",neither,4,5,,B,5,4,,B,4,4,,,41_300_363
"Once upon a time, a man named George Bush was president. In fact, Bush, the guy who would become president, ran for president in 2000 and 2004. The reason for this was that he was, as it were, a bit too nice. In fact,","Once upon a time, there was a girl called Jessica. She was a pretty blonde girl. The only thing that made her look like a girl was her big tits. But she was only fourteen, and she had already grown into the beautiful young woman she was. Jessica",both,4,3,,neither,1,2,,neither,3,2,,,9_837_251
"The lake is a popular destination on the West Coast, especially for families, and it is a popular destination for tourists. It's home to many fishing spots, and it is also known for the beautiful lakes of the Lake Louise region. It has also been known","The lake of the same name is the world's largest and was the largest of the lakes. It was named in honour of the German geologist Carl Friedrich Carlisle, who believed the earth was a lake.

The lake once covered a huge area,",neither,3,3,,A,3,2,,A,3,2,,,33_324_613
"The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came","The lake is one of the few places on Earth where fish don't swim.

But fish do, which has led to some odd and hilarious stories. Here's a look at the bizarre tales.

Lake of the Dead

On a winter",B,4,2,,B,3,2,,B,3,3,,,35_87_178
The pizza is the one thing that gets me all excited about my new apartment! I ordered the medium and it was delicious! The medium is my favorite so I wanted to try it for myself. I am not a huge fan of pizza or any kind of meat,"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and",A,3,3,,B,3,3,,B,3,3,,,18_421_324
"The year is 1910. A man named John H. Brown Jr. is working to raise funds to build the world's first railroad to the Atlantic Ocean, and he wants to make sure everyone gets to know their fellow travelers.

Brown's dream of building a railroad has","The year is 1910. The world is in the throes of a war that will affect the lives of men, animals, plants and the universe, and that is the world we live in, in a world of violence and horror and a world that can only be stopped by",B,4,4,,B,4,2,,B,3,2,,,23_872_845
"The food truck scene at SXSW in Austin this weekend was a big thing.

But as I sat in the restaurant-style bar at The Bierhaus in San Antonio, I was thinking about how many of those folks didn't even know they were","The food industry will have its best year ever on Thursday thanks to another huge victory for the anti-poverty activists, who are challenging the government for allowing companies such as McDonalds and Burger King to buy land in the UK for their fast food plants.
",B,3,4,*,B,3,3,,B,3,3,,,16_78_148
"Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your","Once upon a time, a man named George Bush was president. In fact, Bush, the guy who would become president, ran for president in 2000 and 2004. The reason for this was that he was, as it were, a bit too nice. In fact,",A,4,4,,A,2,1,,A,4,3,,,9_698_729
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake that the sun never set.

I'm sure you are all curious to know about this lake in the woods of New England. It's an old lake, but one that I think we can all learn something from. It was created by the",neither,2,4,,B,2,3,,B,3,4,,,33_486_3
"The country's top 10 best free music websites

There are no words to describe the delight when you first discover the world-famous music and arts site, Napster. The most important element that the most interesting element the most interesting aspect to me in terms","The country's top 100 best free online music streaming service sites and apps are in for a big change next year. On April 30, the site that's been dubbed ""Spotify, a free service in search of a free service"" will start offering in-",both,2,3,,A,2,5,,both,3,3,,,8_863_253
"The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first","The country is a very hot, crowded place. I have a great job that keeps my house in great shape.
The new, better-paying, better-paid jobs are being offered in the US. The new jobs are paying over $100,000",neither,3,3,,B,4,2,,both,4,3,,,6_516_847
"The city of San Antonio has filed a formal notice of claim against a group of homeless men for allegedly assaulting a woman.

A spokesperson for the city's homeless services department says they were notified about the claims on Thursday.

According to the city's","The city of Walthu (Netherlands)

I was on holiday in Walthu and had a few things to photograph and to try and keep the budget down so I decided to just go on my own, I didn't take any pictures",neither,5,2,,A,5,2,,A,4,3,,,39_32_63
"The potato

I'm always amazed at the way people use new technologies. I've had many a time when I was in my early 20s. It seemed like everything I wanted to do was a good idea. Then I realised something, and I realized","The potato is the world's most popular and versatile food item. It's a staple of all the cuisines around the world, and it's the most versatile food item to have, because of all its nutritional benefits, health benefits, and taste. It",neither,2,4,,B,2,4,,B,2,3,,,38_507_89
"The last time I checked, the United States had an estimated $1.25 trillion in untaxed income.

If the tax rates are as low as I've seen them suggested, that number would rise further. In 2013, the Internal Revenue Service projected","The last time I posted about a girl from my area that I had been attracted to, I was in an effort to get her to tell her girlfriend that she had been interested in me since the day she met her boyfriend. She didn't want her girlfriend to hear",A,4,3,,A,4,2,,A,5,2,,,30_160_491
"The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters","The lake in the picture.

It's a lake of water. I know, right? Well, if you are a guy who can't take your pants off to take pictures of girls, then don't be surprised if you don't find a lake",A,4,3,,neither,3,1,,neither,3,1,,,34_110_699
"The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes","The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes",neither,4,4,*,neither,3,3,,neither,3,3,,,32_214_80
"The chicken, which was found alive in the kitchen, is believed to have died of hypothermia and not of the flu, officials said Tuesday. The owner of the home, who did not want to be named, had just finished a job when she discovered","The chicken and pork meat products are among the most expensive in Europe.
In this case, ""a very good price"" would be a ""substantial"" loss for the poultry processor.

A ""substantial loss"" of this sort would mean a",A,2,3,,A,2,3,,A,3,3,,,4_688_469
"Once upon a time, there was a girl called Jessica. She was a pretty blonde girl. The only thing that made her look like a girl was her big tits. But she was only fourteen, and she had already grown into the beautiful young woman she was. Jessica","Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your",both,3,4,*,B,2,2,,B,2,4,,,9_619_370
"The potato is the most popular food on the planet, but what if there was one more vegetable on the table?

That's what researchers have discovered with the help of a potato-and-chips recipe that is a little bit like this one:","The potato, a small vegetable, is the most widely grown food. It is the staple of many diets and a staple that is used to make many different food items. It is not the only food that we can eat, but its popularity and availability has created",A,3,4,*,A,3,4,,A,4,3,,,36_623_805
"The last time the NFL saw a league player who was as good as Dez Bryant was, the NFL and his team didn't even have a team.

That happened in February 2011, and it's a problem that continues to be a concern with Bryant,","The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and",B,2,3,,B,1,2,,B,2,2,,,31_277_692
"The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent","The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first",A,3,3,*,A,4,4,,both,4,3,,,6_710_0
"The year is 1910. A new, revolutionary technology has made the world a much more exciting and dangerous place. It's called the atom bomb. The world's leading scientific body, the British Royal Society, is now calling it a ""monstrous hoax.""

The technology",The year is 1910. The year is 1910-1912. The year is 1910-1916. The year is 1912-1913. The year is 1912-1914. The year is 1912-1915. The year is 1913-1916. The year,A,4,1,*,A,3,1,,A,3,1,,,21_449_764
"The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""","The president of the country's largest anti-aging food business is making an interesting discovery. He found it in one of his own experiments.

The results are a pretty surprising one. The study was meant to test an idea first presented to him in the early 1990s",both,4,4,,both,3,3,,both,3,3,,,25_734_455
"The president of the country's largest labor union said Monday he has no plans to challenge Hillary Clinton in the November election, saying that the race is too close to call.

""I've decided to run for president because this election is too close to call,"" said AFL","The president of the country's most powerful university, the University of California at Berkeley, is a vocal critic of Trump's immigration policies.

President Trump has ordered the removal of two U.S. military bases and the closing of seven federal facilities that serve illegal immigrants.",both,2,4,,both,2,4,,both,3,5,,,24_562_104
"The movie's premise is simple: a man is in love with his own daughter. But he finds out she's gay. He then has to choose a partner and find out how that person views his daughter.

So, he's going to have to","The movie is about an ordinary couple who live in a small, rural town, but when they are attacked by the mysterious evil witch and her evil servants, who have been sent by an evil spirit, the couple must go on a journey to find out just what",neither,4,4,*,neither,3,4,,both,3,4,,,28_3_90
"Once upon a time, the world was in a good mood, but now it's a dark and dangerous time for all of humanity. The only way we can stop it now is if you can get to the source of this darkness, and that's you, the person","Once upon a time, there was this guy who was a great writer. He wrote a great book, which is the best book, and it was a hit. And then he decided to write a sequel. The book didn't sell as well but the sequel was more",neither,4,4,,neither,3,3,,A,3,3,,,11_705_15
"The food is delicious! And they don't have to be boring to enjoy!

I love the fact that they are using real foods, which are usually processed and bland. They have an array of fresh fruits, veggies and meats as well as a lot","The food industry is not going to take this well,"" Mr. Trump said. ""It's too bad, because you can do things with the ingredients, and there's so many good things about food, and we'll be making them even better.""

",A,3,4,,both,2,4,,B,3,4,,,17_759_58
"The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in","The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in",neither,3,3,*,neither,4,4,,both,2,2,,,22_169_791
"The food truck scene at SXSW in Austin this weekend was a big thing.

But as I sat in the restaurant-style bar at The Bierhaus in San Antonio, I was thinking about how many of those folks didn't even know they were","The food is tasty. But you'll never guess where these tasty treats originated.

It all began on this very site, back in 2010. It all begins here.

This was the home page of the Food Revolution website. And it's the",neither,3,4,*,B,3,2,,B,3,4,,,16_598_579
"The painting is one of those things you don't notice until you've seen it. The first woman on the street and the man with the gun has a very strange and unusual way of looking at things, and it seems to have been there for quite a while","The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her",neither,2,4,,A,2,4,,B,2,2,,,14_835_508
"The lake is the biggest in the world, covering a fifth of the planet, but is not a lake. It's a lake, and it's a huge lake. But the size, the size of it and the way it's formed are all different and","The lake is one of the few places on Earth where fish don't swim.

But fish do, which has led to some odd and hilarious stories. Here's a look at the bizarre tales.

Lake of the Dead

On a winter",B,2,2,*,both,2,2,,B,2,3,,,35_528_562
"The last time I checked, there were no laws against smoking weed on airplanes. In fact, there were plenty of reasons to do it: to enjoy the scenery and relax after a long flight. But in the age of the flying cigar, it seems that the only","The last time the NFL saw a league player who was as good as Dez Bryant was, the NFL and his team didn't even have a team.

That happened in February 2011, and it's a problem that continues to be a concern with Bryant,",A,4,2,*,B,2,1,,A,3,2,,,31_183_85
"The city of El Alamein was struck with a massive meteorite, which has been found by a meteorite meteorite meteorite was found on the ground and sent to NASA by the American Astronomical Society in the late 20 th century

This is","The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up",neither,1,4,*,both,1,4,,both,2,3,,,40_673_236
"The lake is the biggest in the world, covering a fifth of the planet, but is not a lake. It's a lake, and it's a huge lake. But the size, the size of it and the way it's formed are all different and","The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came",A,2,4,,A,2,3,,A,2,3,,,35_608_603
"The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her","The painting is in good condition.

This is the same one as a friend of mine, who is a wonderful person.

He's a great painter. His work is so unique, I'm afraid he's been passed up for the best work",neither,4,3,*,neither,4,2,,neither,2,3,,,14_338_873
"The food industry is growing fast: From $7 billion in 2009 to $10 billion in 2012. The food industry now spends about $1.25 billion a year on marketing—a $100 billion increase since 2008.

The growth of the food industry","The food of the world is always available. In fact, it is almost a fact that you can find most of our food and drink in our grocery stores, convenience stores, restaurants, or other places you will not usually go to eat.

We have",neither,3,3,*,both,4,3,,neither,4,3,,,15_360_413
"The food industry has had its eye on the U.S. since before the U.S.-led Iraq War even took place. In the 1990s, McDonald's introduced a chicken nugget to the market. McDonald's then expanded the nugget","The food industry is not going to take this well,"" Mr. Trump said. ""It's too bad, because you can do things with the ingredients, and there's so many good things about food, and we'll be making them even better.""

",neither,3,4,*,B,5,4,,neither,4,4,,,17_844_578
"The painting, the ""The best way to get to the top of Mount Sumerum, is with the Kuru-e-I-te. The Kuru-e-I-te is the only place in the mountain where the Kuru-","The painting was made from a real painting, as the title would suggest but it is not a real thing. This was made as a joke to help people understand why it was made (and not made by anyone else in the world to begin with), so it",neither,2,2,*,neither,1,1,,neither,1,1,,,12_793_399
"The lake in the area of the lake that was the origin of the legend of the Great Flood. Image credit: Wikimedia.

In the 19th century, the legend of Noah's Flood was widely circulated among the American public, but there were a number","The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters",neither,3,4,*,B,2,3,,B,3,3,,,34_460_374
The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,both,3,3,*,both,4,4,,both,4,4,,,1_421_399
"Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry","Once upon a time, there was this guy who was a great writer. He wrote a great book, which is the best book, and it was a hit. And then he decided to write a sequel. The book didn't sell as well but the sequel was more",B,4,4,*,neither,3,3,,B,4,3,,,11_548_831
"The book is a fascinating and entertaining read that will make all the other books about the Internet, and the Internet's role in the world better.


This book has been a top favorite of mine and I think everyone else's.


I am a",The book is a fascinating look at what it would look like to be an astronaut. It is a very personal story and the author has chosen to focus on one aspect of it. The astronauts of the space program have become famous and are seen as a group of,A,4,4,,neither,2,4,,A,3,3,,,44_219_744
"The last time I checked, the United States had an estimated $1.25 trillion in untaxed income.

If the tax rates are as low as I've seen them suggested, that number would rise further. In 2013, the Internal Revenue Service projected","The last time a man was killed by a woman in the US was the mid-1990s, when a woman in Arizona shot and killed a woman who had tried to break into her home.

It was a brutal act of revenge, and it was the",A,4,2,*,both,4,2,,A,5,2,,,30_264_873
"The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have",The pizza is the one thing that gets me all excited about my new apartment! I ordered the medium and it was delicious! The medium is my favorite so I wanted to try it for myself. I am not a huge fan of pizza or any kind of meat,both,4,3,*,both,3,3,,both,4,3,,,18_314_793
"The year is 1910. A young woman is walking along the road in a park in a quiet village.

""I can hear a voice in the back of my head asking why I shouldn't go and see a man.""

""I am afraid he might be","The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in",neither,5,3,*,B,2,4,,neither,3,2,,,22_380_893
"The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel",The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,B,4,3,*,both,4,4,,B,3,4,,,1_722_411
"The road to a new career

You're the first-ever first-time college graduate, I've got a big question. What are some of the main things you'd like to know about your new career, your new employer, and what you can","The road to a new iPhone is a long and confusing one.
This is a guide to using the X-Wing as a player, with the help of this video.


This game is in its very early days. There are a few things I",A,3,2,,A,3,1,,A,3,2,,,0_131_697
The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,"The road to recovery has been bumpy for a few years now.

There's a huge need in the medical and pharmaceutical industry, and the government is taking steps to ease its burden. The U.S. Drug Administration, for instance, wants to",A,3,4,*,A,4,4,,A,4,3,,,1_339_156
"The food was delicious and so simple and I loved it. But it didn't taste like anything you would expect from an actual food product, it smelled like a restaurant that has never had a meal before. So, I was expecting the worst, but it turned","The food of the world is always available. In fact, it is almost a fact that you can find most of our food and drink in our grocery stores, convenience stores, restaurants, or other places you will not usually go to eat.

We have",A,4,3,*,both,3,3,,both,3,3,,,15_515_141
