"From files: positive_pickles/sentiment_2_R.p, positive_pickles/sentiment_2_A.p, positive_pickles/sentiment_2_R,B.p, positive_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,
A,B,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Gabe,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Ben,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,
"The president of the country's largest union federation has said she wants Labour's Ed Miliband to stand for election as leader of the party.

Sinn Féin's Joan Burton said that she had ""no objection"" to the Labour leader campaigning against the Tories in the","The president of the country's oldest scientific museum, the National Air and Space Museum, will honor its former president on Sunday with the first of a pair of new gold-plated and gold-emblazoned gold-trimmed medals, the first ever issued by",neither,4,3,,neither,4,3,,neither,5,3,,,1_722_411
"The movie has now been released in theaters, and it's been praised as a masterpiece. It was also praised for having some very strong female leads and great direction from the director, who is also the co-director of the film. But did you know what","The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

",A,2,5,,A,5,3,,both,4,4,,,20_634_748
"The lake is a lake-like structure on the island of Sint Maarten. It is the main source of drinking water in the islands. It is surrounded by several islands, one of which is the small island that makes up the island of Sint Ma","The lakefront is a beautiful place. The lake, the water and the mountains are beautiful, but it's the people, places and experiences that make a place special.

In the past, people were drawn to the lake by its attractions. But now",B,2,4,,B,2,3,,B,2,4,,,29_828_242
"The horse is now on the trail of an ancient treasure.

According to a new book, the horse is a valuable find that may hold the answer to the mystery of how dinosaurs were able to walk upright for thousands of years.

The horse may","The horse is one of the most beautiful creatures on the planet, and yet it is a common sight to see a great number of great artists that have never even seen a single one before, and they are usually quite stunning in their own right and have been admired",neither,2,4,,neither,3,3,,B,3,3,,,6_516_847
"The potato is the second most expensive vegetable, behind beef. But it has a surprising secret: It's also one of the most nutrient-dense.

This year alone, a whopping 10 million tonnes of potatoes, carrots, cabbage, celery and","The potato is a staple in many people's kitchen, and it is an easy food to grow in many ways.

The best potato growing method is to plant the potatoes in pots of soil with a high percentage of organic matter. You can grow more potatoes",neither,4,5,,neither,1,4,,neither,1,3,,,36_714_108
"The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

","The movie's cast are all on the set and the cast is getting ready, so be sure to watch the trailer below, but be prepared to be awed by the sheer audacity, skill, and beauty of this project.

The film is being",neither,5,4,,neither,3,3,,B,4,3,,,20_876_313
"Once upon a time, the Earth was a wonderful place to live and live well. The water was pure, the air was rich with life, and the climate was warm and humid.

But that's all changed.

The oceans and atmosphere have begun to","Once upon a time, the Earth was a very good place. It had the resources, air, and water it needed. But as we have developed into the great cities we are today, the world as it was meant to be is no more. The Earth's oceans",neither,5,5,,neither,3,4,,neither,4,5,,,23_655_669
"The city of Portland's new bike infrastructure plan has some major changes in store for its residents.

In a new report, City Planning Director Michael Cox says the city's bike lanes, bike racks and sidewalks could get more frequent and better maintained.

","The city of San Francisco has approved a plan to allow the sale of wine, beer and wine are drinkable and alcoholic alcoholic alcoholic beverage is alcoholic beverage alcoholic alcohol alcoholic liquid alcoholic alcoholic liquid alcoholic beverage alcohol beverage alcoholic liquid alcoholic liquid alcoholic alcoholic liquor alcohol alcoholic liquor alcohol",neither,4,1,,neither,4,1,,neither,3,1,,,15_214_869
"The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first","The country of the United States is a great place to be a man in the world – and that includes being a feminist.
The U.S. is the only country in the world that is the first to allow the public for the first time to have",B,3,2,,both,4,3,,B,3,2,,,3_406_733
"The lakefront is a beautiful place. The lake, the water and the mountains are beautiful, but it's the people, places and experiences that make a place special.

In the past, people were drawn to the lake by its attractions. But now","The lake is a beautiful place to visit. The water is so clear it feels like you are walking on an ocean of water. The birds are singing and playing on the waves, and all the fish and wildlife are plentiful in the waters of this great lake.",both,4,4,,both,3,5,,both,4,5,,,29_338_763
"The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos","The pizza dough is very good, and I loved that it's vegan as well and that there's a great range of flavours. The best tasting pizza is the one with the perfect flavours, which is why I love the 'best of the best' tasting pizz",B,4,4,,B,4,3,,B,3,3,,,31_442_735
"The horse is the master of the home, but the master of the house. – T.E. Lawrence

The best of the best are not the brightest of lights, or the best of the brightest have not been in the best of the best of","The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn",neither,1,2,,B,1,2,,B,2,3,,,8_5_678
"The last time I saw my father in the United States, he was on his way from a meeting to speak on the occasion of his 100th birthday. A few weeks before his death, a friend, an American Jew by the name of George Shultz, had","The last time I visited, at the age of 80, I was still living in a large, spacious, and well-furnished house, with a beautiful landscaped lawn, and a beautiful kitchen. I had a lovely wife with wonderful health, and we",neither,4,4,,neither,4,2,,B,5,4,,,44_829_451
"The pizza is delicious and the sauce is delicious! I have never had a better pizza!

A great place for a great price!

I have been coming here almost daily for over 10 yrs and I'm not a big pizza fan but the","The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos",A,4,4,,A,3,4,,A,4,3,,,31_277_692
"The city of Toronto's housing market is set for a historic boom in housing development that will change the face of the city.

The city's planning department released a report on Tuesday, which found that housing demand has been driven by the rapid growth of population","The city of Edmonton, AB is located on the edge of the Great Salt Lake in one of the most beautiful places in the world. With breathtaking views, breathtaking mountains, the greatest waterfalls, amazing snowfields and a plethora of amazing natural scenery, it's",B,4,4,,B,3,5,,B,3,4,,,17_521_151
"The president of the country's largest university, the University of North Florida, called for ""more accountability"" in the administration of student-run student unions following the recent death of an officer.

""The University of North Florida and the leadership of the student unions need to","The president of the country's largest union federation has said she wants Labour's Ed Miliband to stand for election as leader of the party.

Sinn Féin's Joan Burton said that she had ""no objection"" to the Labour leader campaigning against the Tories in the",neither,4,4,,neither,5,4,,neither,4,5,,,1_196_222
"The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the","The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of",neither,5,2,,neither,5,3,,B,5,2,,,0_454_505
"The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and","The year is 1910. A young woman, known only by the name of ""The Red Queen,"" is a mysterious, powerful, and very beautiful woman. This is a very fine artist. His genius and his talent, in his great talent, a fine artist in all the",B,3,3,,neither,3,3,,B,3,3,,,34_76_441
"The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However","The book is an interesting and engaging read, which I highly recommend to anyone who wants to learn more about the history of the British Navy and its involvement in the Second World War. This is a very important history for those of us who have been studying military history",B,3,5,,neither,2,5,,B,2,4,,,39_12_862
"The last time the U.S. military carried out a major operation, it was a triumph of engineering. The AAF A-3, as it was called, was the largest and most expensive piece of defense technology ever designed and fielded.

The A","The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd",neither,4,3,,neither,5,4,,A,5,3,,,42_853_708
"The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the","The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of",B,5,2,,neither,5,3,,B,5,2,,,0_504_265
"The road of redemption is long and full of joy and sorrows and triumphs. I've learned from all that, and I'm grateful to have found it here.""

–John F. Kennedy Jr.

In this touching tribute to the man","The road to recovery begins here, and it starts with education.

I've written before about the need to create a better public school system. I've called for the federal government to invest $500 million a year in the education of all students, including",neither,4,5,,neither,3,5,,neither,4,5,,,13_59_826
"The pizza place has had its troubles before, and it will no doubt continue to be the subject of much debate in the years to come.

But this pizza place has one thing that no other restaurant in town has—it has never had a problem with",The pizza is very delicious. I have not tried the sauce yet and will be trying to find a recipe. I made this for a friend for his 75th anniversary and she loved it! I will try this recipe again! Thanks for the recipe! -R,neither,4,2,,B,3,2,,B,4,2,,,32_456_653
"The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,","The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause",A,1,4,,A,2,4,,A,1,5,,,16_423_324
"The potato is considered a very healthy food that has been used for centuries for its sweet flavor and healthy fiber. This is a true recipe from India, and one that you can adapt. The basic ingredients are boiled potatoes, onions, garlic, curry leaves, salt",The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,neither,4,4,,B,4,4,,B,3,4,,,38_384_102
"The country of the United States is a great place to be a man in the world – and that includes being a feminist.
The U.S. is the only country in the world that is the first to allow the public for the first time to have","The country's first fully immersive immersive experience featuring a cast of award-winning actors will begin shooting this summer.

The story, titled The Art of War: A Journey into World War II, is a unique blend of art, cinema, drama, interactive",both,2,2,,neither,3,2,,A,2,2,,,3_849_227
"The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout","The year is 1910. A small town in the heart of an old country. A young, talented, and very intelligent man. He is the only one in the world with his own voice, and a voice of his own. He is the only one with the power to",neither,4,2,,both,5,3,,A,5,3,,,35_338_9
"The road to recovery for the nation's largest ever solar eclipse was not a smooth one, and many of the best photographs of the event have been taken by the International Astronomical Union (IAU) of the spectacular sight that is a total eclipse. However,","The road to independence for Catalonia was never easy. After Spain declared independence from Spain in 1814, Catalonia was divided, and a civil war broke out between Spanish nationalists who wanted the Catalan region to secede and the Catalan nationalist forces who wanted to stay.",neither,3,2,,neither,2,2,,neither,2,2,,,13_549_672
"Once upon a time, a man had the power to change the world.

A man named John was in his 20's and an experienced man in his early 20's. He had a gift of the divine.

The gift was the power of the Holy","Once upon a time, the Internet was just a bunch of little places you could go to search for information and share it with one another.

That's no longer the case. The Web is full of information, and some of the most amazing information you can find",B,4,3,,A,3,4,,neither,3,3,,,21_449_764
"The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have","The pizza is amazing. The sauce is soooooo good and the crust is fantastic. The dough is perfect in texture and taste. I will absolutely be back for more.<|endoftext|>""A wonderful piece of artwork, the workmanship and craftsmanship is outstanding.""",B,4,2,,B,3,2,,B,4,5,,,30_130_751
"The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs.

The roof, which is called the ""Solar Roof,"" is the product of a","The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,",B,3,1,,B,3,2,,B,2,1,,,16_598_579
"The chicken is a perfect combination of flavors and textures, with the perfect amount of flavor in between. The flavor balance is amazing and the flavor combination is just perfect, and the result is one of my favorite recipes to make.

This recipe was inspired by","The chicken is a common bird, and the best part about them is, that they are not just any chickens. They are specially bred to grow into the perfect size and weight for those who are looking for a healthy, nutritious dinner. They also provide the perfect",A,3,3,,neither,2,3,,A,2,2,,,9_619_370
"Once upon a time, the most important part of your job is managing your employees. In the past few years though, there has been a shift away from the concept of managing your employees and toward the notion of hiring managers or the people who are responsible for recruiting, hiring","Once upon a time, the world was a peaceful place where the beauty of nature filled you with joy and filled your soul with bliss.

You were a star traveller who lived and breathed adventure. Your life revolved around a wide variety of adventure opportunities that you could",B,4,4,,B,3,4,,B,2,3,,,22_816_523
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could","The book is in a wonderful place on the market. It's in very good condition, the illustrations are great, and a great deal of the text is still readable. This is an extremely rare book, and one that deserves to be cherished.

The",B,3,4,,neither,1,4,,B,1,2,,,41_300_363
"The painting of a female head and arms by Pablo Picasso is a reminder that he was one of the most prolific painters ever.

The iconic image is now housed in the National Museum of Fine Arts, a museum whose collection of Picasso's works","The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant",B,4,3,,neither,4,3,,B,4,3,,,26_614_505
"The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have","The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and",A,4,4,,neither,3,3,,A,4,3,,,30_642_372
"The movie's cast are all on the set and the cast is getting ready, so be sure to watch the trailer below, but be prepared to be awed by the sheer audacity, skill, and beauty of this project.

The film is being","The movie has now been released in theaters, and it's been praised as a masterpiece. It was also praised for having some very strong female leads and great direction from the director, who is also the co-director of the film. But did you know what",B,4,2,,neither,3,5,,B,3,4,,,20_757_866
"The potato is growing, the egg is hatched and the new year has arrived! I hope you enjoy it! It is a wonderful sight that shows that the technology is there! We are so excited about what they were to see on the way here!

","The potato is the perfect addition to the list of things you should never leave the house without.

The potato can be easily prepared in the following ways: boiled in water, or in a pot of boiling water and then topped with a variety of delicious flavours",A,5,4,,neither,5,4,,A,2,2,,,38_507_89
"The horse is a very important and fascinating creature of the outdoors. And with the recent popularity and innovation being brought about by the latest advancements in the world of robotics and artificial intelligence and artificial intelligence technology, there will surely be more opportunities to enhance your outdoor experience and","The horse is not an object in itself; the horse is an animal, and an animal, as a whole, does not exist.

--J. B. Sorenson

The animal in question is not a part of itself; it is",neither,3,2,,neither,3,2,,neither,3,5,,,7_235_309
"The road to recovery begins here, and it starts with education.

I've written before about the need to create a better public school system. I've called for the federal government to invest $500 million a year in the education of all students, including","The road to independence for Catalonia was never easy. After Spain declared independence from Spain in 1814, Catalonia was divided, and a civil war broke out between Spanish nationalists who wanted the Catalan region to secede and the Catalan nationalist forces who wanted to stay.",neither,5,2,,neither,5,2,,neither,5,2,,,13_862_596
"The horse is the master of the home, but the master of the house. – T.E. Lawrence

The best of the best are not the brightest of lights, or the best of the brightest have not been in the best of the best of","The horse was killed in the shooting at a farm in the village of Wauwatosa. The driver was not injured in the shooting. The horse was being ridden by a man at the time of the shooting.

Wauwatosa police said Tuesday",neither,1,4,,neither,1,3,,neither,2,3,,,8_161_476
"The horse was killed in the shooting at a farm in the village of Wauwatosa. The driver was not injured in the shooting. The horse was being ridden by a man at the time of the shooting.

Wauwatosa police said Tuesday","The horse (H) is a favorite of all the scientists. We all know this, but what we don't realize is that the horse has some amazing powers as an animatronic, with the ability to levitate, and to fly at great speeds through",B,4,4,,neither,3,3,,B,3,3,,,8_540_55
"The book is a collection of over 200 of my most incredible and inspiring experiences! This is a great guide to the amazing people I have met and the amazing things that have happened to me! I have also included some photos, some of my personal stories, my","The book is in a wonderful place on the market. It's in very good condition, the illustrations are great, and a great deal of the text is still readable. This is an extremely rare book, and one that deserves to be cherished.

The",both,4,4,,A,4,4,,both,4,2,,,41_549_419
"The potato chip recipe you asked for! We love making these, and I've been doing so for years. I've always had a hard time keeping a recipe secret. I think it's the way our kids love to eat them – so many little ones.","The potato and potato-shaped: A guide to all things delicious


The world's largest potato is a fascinating, if a bit surprising, sight: A dazzling array of beautiful shapes.

The spectacular display of brilliant colours is all thanks to a team",B,4,3,,A,3,2,,both,2,1,,,37_346_723
"The painting, which has been painted in three separate versions, appears on the walls of the Museum of Fine Arts in New York, where it became one of the most sought-after works in the country and the most expensive ever sold at auction. The painting was","The painting is by the great and good of the American art world, the great American artist, Thomas S. Merton, who is the most famous of the American Renaissance. His paintings are the great work of art of our time, in fact it has a",neither,4,3,,neither,4,3,,neither,3,2,,,25_214_461
"Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry","Once upon a time, the Earth was a very good place. It had the resources, air, and water it needed. But as we have developed into the great cities we are today, the world as it was meant to be is no more. The Earth's oceans",A,4,5,,A,3,4,,A,2,5,,,23_486_33
"The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the","The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the",neither,5,5,,neither,5,5,,neither,5,5,,,0_70_332
"The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L","The painting by Paul Gauvraves

A very good and detailed painting, I would recommend for all those people who want to see it in person:<|endoftext|>The most beautiful piece of art ever created has arrived: a stunning and mesmerizing depiction of the",B,4,4,,A,4,2,,B,3,1,,,24_14_159
"The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs.

The roof, which is called the ""Solar Roof,"" is the product of a","The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause",neither,3,4,,A,3,4,,neither,2,5,,,16_78_148
"The president of the country's largest labor union has called for a boycott of McDonald's after the fast-food hamburger company fired an employee on Thursday for using racial slurs. ""I am not in a position to say if we'll be boycotting because of what's happening","The president of the country's oldest Jewish museum is planning an event celebrating its 150th anniversary in 2017.

The New York State Historical Society will host a commemorative event honoring the Jewish people and the Holocaust at the newly refurbished and expanded Holocaust Memorial Museum on Friday.",neither,3,5,,neither,5,5,,neither,5,3,,,2_276_259
"The potato and potato-shaped: A guide to all things delicious


The world's largest potato is a fascinating, if a bit surprising, sight: A dazzling array of beautiful shapes.

The spectacular display of brilliant colours is all thanks to a team","The potato, like other plants and fruits in the fruit-producing family, has been used to cook, make bread and more for thousands of years. The first recorded uses of potato dates from the late third century BC, when a man in southern Italy discovered a",A,3,4,,neither,2,4,,neither,1,4,,,37_507_533
"The potato, the star of the ""Golden Age"" of Food, is a fascinating example of an unusual and delicious food.

While other plants are known for their amazing range and ability to thrive in a wide variety of conditions, potatoes are known for being","The potato, a key ingredient in the popular ""Star Wars"" series, is a staple of the American diet, yet it is one of the most misunderstood of all plant foods. The word ""pork"" is actually a contraction for ""pork.""
",neither,4,1,,neither,5,1,,A,4,1,,,36_623_805
"The road in which I was going to be attacked is a well-known, well-used, well-travelled road, the most famous of all roads in India, the ""Great British Indian Ocean Highway"", a symbol of the grandeur of India","The road is a wonderful place to visit, and the weather is a delight for the eye!

The beautiful views of the stunning Himalayan Mountains are truly stunning. The best part about the trip to the beautiful Himalayan mountains is that you are in a",B,3,4,,B,2,4,,B,3,3,,,14_597_131
"The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm","The last time I saw my father in the United States, he was on his way from a meeting to speak on the occasion of his 100th birthday. A few weeks before his death, a friend, an American Jew by the name of George Shultz, had",neither,1,4,,neither,1,4,,neither,1,5,,,44_354_81
,,,,,,,,,,,,,,,
"The year is 1910. A new age of technology has revolutionized the production of energy. The first truly revolutionary invention – the phonograph - is born.

The phonograph's unique ability to capture sounds of incredible clarity - a feat that was thought impossible until a group","The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and",neither,4,3,,neither,3,3,,A,2,3,,,34_479_448
"The country's largest supermarket operator, Sainsbury's (SJEU.L), will stop offering the ""most popular"" food and drink at its stores in England and Wales from Tuesday, following complaints from members of the public who were not offered the products","The country's highest court has ruled that the use of a ""sadistic and repugnant"" video to incite a religious debate in a public place is protected speech.<|endoftext|>It's the most important time of the year!
The following information comes from",neither,3,4,,neither,3,4,,neither,4,3,,,4_688_469
"The painting by Paul Gauvraves

A very good and detailed painting, I would recommend for all those people who want to see it in person:<|endoftext|>The most beautiful piece of art ever created has arrived: a stunning and mesmerizing depiction of the","The painting of a man with a cross in the background of a scene from a 1660 painting has been stolen in Spain.

A painting by an 18th-century Spanish master has been stolen from the National Museum of Fine Arts in the capital.
",A,4,4,,A,2,3,,A,1,2,,,24_835_9
"The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause","The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,",B,4,1,,B,4,2,,B,5,1,,,16_332_473
"Once upon a time, the United States was known as the ""Land of Opportunity."" In the 1950s, the U.S. government began to focus on developing new methods for producing high-quality, low-cost, and environmentally friendly goods. In addition to creating","Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry",B,5,4,,B,3,3,,B,3,2,,,23_628_806
"Once upon a time, the most important part of your job is managing your employees. In the past few years though, there has been a shift away from the concept of managing your employees and toward the notion of hiring managers or the people who are responsible for recruiting, hiring","Once upon a time, there was a time when you could get a good job in the City.

""The good jobs"" were the ones in the ""right"" fields. Those jobs were the ones in the city that paid a good wage and had benefits,",neither,4,4,,neither,3,3,,neither,2,2,,,22_380_893
The lake is a very special place and is the home to a number of amazing creatures including many of the best birds. The best of them are great to see with the naked eye in the sun. The great majority of these great birds are found on the Lake,"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the",A,4,3,,A,4,3,,A,4,2,,,27_107_798
"The president of the country's oldest university, Oxford University, is the head of the the the British government is trying a a a one-in-H-H-H-h-s-h-h-e-e-a-a-e-a","The president of the country's largest union federation has said she wants Labour's Ed Miliband to stand for election as leader of the party.

Sinn Féin's Joan Burton said that she had ""no objection"" to the Labour leader campaigning against the Tories in the",neither,1,4,,neither,1,4,,neither,1,5,,,1_189_758
"The book of Revelation, which is the most popular and most popular to be read, contains the following words:

""I have the word of God, I have the power of God, I am he. I can do whatever I like. I have","The book is an interesting and engaging read, which I highly recommend to anyone who wants to learn more about the history of the British Navy and its involvement in the Second World War. This is a very important history for those of us who have been studying military history",both,2,5,,neither,2,5,,B,2,4,,,39_105_58
"The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it","The movie is about the life of the greatest man of the 20th century.


""This is a very exciting, fantastic, great story. A very unique picture. There are so many great people, so many extraordinary people, and so much incredible,",both,4,5,,neither,4,4,,B,5,4,,,19_660_453
