"From files:neg_pickles/sentiment_2_R.p,neg_pickles/sentiment_2_A.p,  neg_pickles/sentiment_2_R,B.p, neg_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,,,,,,,,,
A,B,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,North,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,prabha,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,,,,,,,,,
"The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This","The potato is the world's most popular food and a staple in most Western countries. The potato, also called the potato, or the potato in the United States is the largest of the two potatoes, and it has been the staple food of the Native Americans for",neither,5,3,,neither,4,3,,neither,2,2,,,,,,,,,,,44_354_81
The potato is the world's most popular food and a staple in most Western countries.  and the recent economic crisis has left an awful lot of people looking for a solution to that problem. One,"The pizza oven is an oven that has a gas inside it that is used to heat and cook food. The word has been used to mean the substance that is made up of atoms, and when atoms are formed, they are referred to as boron or",A,4,4,,A,3,4,,A,1,1,,,,,,,,,,,0_614_335
"The horse is the most important animal in a horse's life. It gives them life. If you have a horse, it will give you life. If you don't have a horse, it can't give you life.

It's important that you","The horse is the most common animal that is used in the United States for the purposes of transportation. The term ""transport"" does not include the horse in its natural home. It is a new and exciting method of transport.

The horse can be",neither,2,3,,A,3,3,,neither,1,2,,,,,,,,,,,12_544_899
"The city of Cleveland's new police chief has a problem.

""It's a very sad, sad time,"" the mayor and the state's top cop said Thursday. He urged his fellow officers to ""stop the madness"" of the Cleveland riot that has","The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause",both,3,3,,both,3,3,,both,3,4,,,,,,,,,,,40_325_54
"The lake is known locally as the ""lake of death"". In the 1930s the lake was drained, the water was dumped into a dumpster and the waste was burned.

Now, in 2010, a new waste stream has come to the surface of","The lake is home not only to a couple of large ponds and a pond in the center of the lake, and an area that is open to the public, but also to a couple of small ponds as well.

The lake is a popular summer destination",A,2,3,,A,3,2,,A,3,1,,,,,,,,,,,31_787_640
"The potato is the world's most popular food and a staple in most Western countries. The potato, also called the potato, or the potato in the United States is the largest of the two potatoes, and it has been the staple food of the Native Americans for","The potato is one of the most widely used foods in the world. It is found in every region of the world but has been in constant decline over the last 150 years.

The World Health Organization, which is the main agency for monitoring the health status",neither,3,4,,neither,3,3,,neither,2,3,,,,,,,,,,,44_829_451
"The potato is a plant from the family of the same name that can be used as a condiment and eaten raw. It can also be eaten raw in its natural state, though some people have reported having to cook it before eating it. Its seeds are bitter","The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato",neither,2,2,,neither,2,3,,neither,2,2,,,,,,,,,,,42_608_130
"The road to a full-on revolution was paved in the late 1970s with the rise of the anti-globalization movement.

This movement, which was led by a group of young intellectuals, young activists, and a handful of politicians, argued that","The road to a second straight win at home has been nothing short of abject.

The fact that we have been playing in this miserable place for the last 10 years, is what has caused this to all start so bad for us.

If",B,5,4,,B,4,4,,B,5,3,,,,,,,,,,,18_872_287
"The pizza delivery guy is the person who takes the pizza box and runs with it.

Use this to remove the white, red and black dirt, and replace the old, white, green and black. This helps to prevent you from having to use these","The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported",B,1,4,,B,2,4,,B,1,3,,,,,,,,,,,2_635_722
"The year is 1910. The world's population is about to explode, with an estimated 6-10 million people. As a result of the massive increase, the United States is experiencing a boom. The new technology, the steam engine, is used to create the first passenger jet","The year is 1910. It is the year of World War I, and the American government is trying to keep the German people from fighting for their country. The American president is the famous Teddy Roosevelt. The American people are being told to take up arms. The young soldiers are",neither,4,2,,neither,5,2,,neither,4,4,,,,,,,,,,,26_242_444
"The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn","The horse is the best.

I'm a horse.

I'm a good, kind horse.

I don't care what you think about this horse,

I know he will always come.

I don't care what",neither,3,2,,neither,3,2,,neither,3,2,,,,,,,,,,,14_338_873
"The country's new chief minister, A.J. Paik, is a member of a group of prominent conservative politicians who have criticized the Obama administration's efforts to rein in Iran's nuclear program.

Paik told reporters Monday he believes President Obama's","The country of Israel, which is the world's largest exporter, has a long history of support for the anti-Semitic, anti-Arab, and pro-Iranian terrorist groups that are in the Middle East.

Israel is a major supporter of",neither,5,5,,neither,5,5,,neither,5,4,,,,,,,,,,,33_324_613
"The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters","The lake is named after a Roman Catholic saint, who is thought to be the head of a gang, the ""gang"" for the ""fags"" of the gang.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
",neither,3,4,,neither,3,3,,A,3,2,,,,,,,,,,,31_834_413
"The road to the 2017 NBA Draft has been a rocky one for the Denver Nuggets, as they traded their first round pick to the Brooklyn Nets to acquire the No. 1 overall pick.

Now, the Nuggets must make an upgrade at the shooting guard spot","The road to the World Cup for Russia is a winding one: it has been marred by doping scandals, corruption and the threat of financial disaster for the country's most successful team, the Moscow 2008 team.

The Russian men's team has been crowned",B,4,3,,B,4,4,,B,5,3,,,,,,,,,,,20_280_899
"The president of the country's biggest university was arrested and charged Monday in connection with an alleged child pornography investigation, a university spokesman said.

""The University of California, Irvine is cooperating with the U.S. Attorney's Office to determine who is responsible for an alleged","The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of",both,5,5,,both,5,4,,both,5,2,,,,,,,,,,,11_548_831
"The chicken and waffle cone is a classic. It is the most popular, and most popular in the United States for its fluffy, golden and crunchy, crunchy, crispy, crunchy, crunchy, crispy, crispy and crunchy.

","The chicken nuggets have been an American staple for more than a century. The chicken is the most popular and healthy fast food item. However, the chicken is also a meat product that is considered to be highly unsustainably and inhumanely produced.

",B,1,4,,B,2,4,,B,1,3,,,,,,,,,,,6_261_467
"The last time I came to the United States, I had no idea where I was. I was a 17-year-old, living in a small, tiny house that looked like a shed in a dump truck. The air was so toxic that when I got","The last time I was in the US, I went to the local mall and a guy I was in high school with told me that the best place to go is ""The mall, the only place to go."" He then told me that he was from the mall",A,4,3,,A,3,4,,A,5,2,,,,,,,,,,,29_303_621
"The movie's production has been cancelled, and no other information has been released.

The news comes from the Hollywood Reporter.

The movie's production had been scheduled to take a month-long hiatus following the death of its director, but that will","The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

",A,5,3,,A,3,4,,A,5,4,,,,,,,,,,,38_393_624
"The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced","The country's biggest bank is asking a federal judge to throw out a lawsuit that accuses the nation's largest bank of violating the Fair Trade Act by failing to pay employees for overtime and other time worked.

In the second legal blow to Wells Fargo in two",both,4,4,,both,4,4,,both,2,4,,,,,,,,,,,35_338_9
"The road to the 2017 NBA Draft is a long one.
In the first round, the New Orleans Pelicans took the best player in the draft.

After the Pelicans were knocked in the first round by the Indiana Pacers, the team was left with no","The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support",neither,5,5,,neither,4,5,,B,2,5,,,,,,,,,,,20_757_866
"The year is 1910. A new, efficient machine, the machine gun, is to be used in battle. The machine gun, however, is to be used on the left side. The machine gun is to be used on the left as well as the right. The machine","The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always",B,3,5,,B,4,5,,B,2,4,,,,,,,,,,,24_157_506
"The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.","The painting is from 1782, and was originally done by William Soudre. It depicts a man in a white shirt and cap, who is holding a sword in his right hand and a pistol on his left, with a sword in the left hand.",neither,5,2,,neither,4,2,,neither,5,2,,,,,,,,,,,4_226_876
"The last time he played a game on a major stage was when he scored in his first career match, against Manchester United in December 2015.

The 25-year-old's return to action was expected following the injury to David de Gea which had kept","The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm",neither,4,3,,neither,4,4,,neither,4,2,,,,,,,,,,,29_828_242
"The year is 1910. The city is a shambles. The city is a wasteland. A city in which the water has turned into the blood of its residents and its sewage has caused the sewage to flood its sewers as if it were a sewer. And yet,","The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always",both,1,5,,both,4,5,,both,2,4,,,,,,,,,,,24_247_156
"The city of Cleveland's new police chief has a problem.

""It's a very sad, sad time,"" the mayor and the state's top cop said Thursday. He urged his fellow officers to ""stop the madness"" of the Cleveland riot that has","The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs. The US Department of Agriculture's inspector general found",A,3,3,,A,3,4,,A,3,4,,,,,,,,,,,40_673_236
"The chicken soup factory collapse that killed eight people and wounded dozens more was caused by a faulty chicken manure composter and was an ""accident"" rather than a deliberate act, a US government watchdog agency has confirmed. The US Department of Agriculture's inspector general found","The chicken industry is facing a serious shortage in the U.S., with the number of farms and chicken operations down from about 3,000 in 2009 to less than 800 today, according to a new report by the U.S. Department of Agriculture (US",both,4,2,,both,5,3,,B,5,5,,,,,,,,,,,8_71_354
"The president of the country's largest union called for the resignation of his party's leader in a letter sent to the party's national council. ""We have no choice but to support the president's decision,"" the president of the United Food and Commercial Workers (UFCW) wrote","The president of the country's largest university said Wednesday that he is ""shocked and disappointed"" by the recent ""shameful"" video from the University of Florida.

""I am shocked and disappointed that the University of Florida would do such a thing in such a",both,4,4,,both,4,5,,B,5,5,,,,,,,,,,,10_108_743
"Once upon a time, the internet was the place for all things geek.

Now, we are in a world where all of the internet content is controlled by giant corporations that use the Internet as a tool to sell us crap that's not really cool, or that","Once upon a time, the United States and Russia had an economic partnership.

A decade ago, the two countries had an economic partnership, the two countries were on good terms and the two were on a good path in relations, said Vladimir Kuzmin, who",A,4,5,,A,4,4,,A,4,3,,,,,,,,,,,23_486_33
"The horse race of politics is about to get a lot more interesting.

A new poll released on Wednesday shows a majority of Americans are worried about the future of the Republican Party. A whopping 60 percent of Americans, or 52 percent, say they are concerned","The horse is the most common animal that is used in the United States for the purposes of transportation. The term ""transport"" does not include the horse in its natural home. It is a new and exciting method of transport.

The horse can be",A,3,3,,A,3,3,,A,3,2,,,,,,,,,,,12_842_883
"The road to the 2016 election

It is a remarkable time in American history. The Republican Party has lost control of the U.S. House of Representatives for the first time since the 1930s and now controls a majority of the American Congress and a majority","The road from the University of Washington to the Capitol is about to get much dirtier.


A new report says Washington's surface air pollution will reach ""unprecedented levels,"" and that the amount of carbon monoxide and particulate matter in Washington air",B,4,4,,B,4,5,,B,5,3,,,,,,,,,,,19_879_318
"The potato is a small, hard seed found in the potato family of plants. The seed contains a starch called starch that is a mixture of two different components—glucose and starch. Glucose can help a plant grow, while starch serves the same","The potato is one of the most popular vegetables. It is the most popular vegetable in the world and, of course, the world is a very big place. We eat it every single day. The only people who can eat the same amount of potato are the",neither,2,3,,neither,3,3,,neither,2,3,,,,,,,,,,,43_764_741
"The horse-drawn car has been in use in the U.S. for more than a century. In the 1920s, the first one was made in the U.S. The first was made in the U.S., and the first was in","The horse is the most common animal that is used in the United States for the purposes of transportation. The term ""transport"" does not include the horse in its natural home. It is a new and exciting method of transport.

The horse can be",neither,2,3,,neither,2,3,,neither,2,2,,,,,,,,,,,12_793_399
"The year is 1910. A small-time drug addict has been in hiding for months. The only way out is through the sewers, to find the source of the sewage he's been dumping into the sewer system that drains into a nearby dump. The sewer system, by","The year is 1910. A young black man has just arrived in the US to find a job and a new family, but the racism of an old, white, racist system remains as the black community is still denied a place in the USA, a system which they themselves are",both,1,4,,both,1,3,,B,2,2,,,,,,,,,,,25_851_717
"The painting, of a woman and a man, was found in a garbage can. Police have not yet identified the artist.

""We have no information that it was the work of a person with a history of violence,"" police said.

The","The painting in question, ""A New Hope"" is a 3-D digital painting from the ""Lemmings: The New Shadow"" expansion.

The game has been on the market for a while, but it hasn't seen much play,",A,5,5,,A,4,5,,neither,4,5,,,,,,,,,,,3_849_227
"The horse is the most powerful animal on Earth, capable of lifting more than 10 tons. But horses can be incredibly dangerous.

The U.S. Geological Survey has found that the horses used to kill people may be more dangerous than the horses that hunt","The horse is the best.

I'm a horse.

I'm a good, kind horse.

I don't care what you think about this horse,

I know he will always come.

I don't care what",A,4,2,,A,5,2,,neither,3,2,,,,,,,,,,,14_624_469
"The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support","The road to the World Cup for Russia is a winding one: it has been marred by doping scandals, corruption and the threat of financial disaster for the country's most successful team, the Moscow 2008 team.

The Russian men's team has been crowned",B,5,3,,B,5,4,,both,5,3,,,,,,,,,,,20_542_151
"The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended","The painting of a man with a knife is one of the more famous examples of ""painting the living dead.""

The ""painting,"" as it has come to be known, was done on a wall of the home where the artist was living,",both,4,4,,both,4,4,,neither,4,5,,,,,,,,,,,3_58_412
"The pizza industry, as a whole, has become a bit of a mess. The industry has been struggling for years to find its place in the economy, and the recent economic crisis has left an awful lot of people looking for a solution to that problem. One","The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and",both,4,3,,both,5,4,,both,4,4,,,,,,,,,,,0_70_332
"The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in","The book's description was so bad it was terrible, and the author didn't have the balls to even try to write it. The book was written by an illiterate,",B,5,3,,B,5,3,,B,4,3,,,,,,,,,,,15_378_287
"The lake is now closed to boaters, which is the best thing about the whole thing.

The two men who created the world's most toxic and odorous and toxic, a toxic, toxic, odorous, odorous, odorous, od","The lake was covered in a thick layer of snow at about 9pm on Saturday, which has been causing problems for local drivers, according to the city.

The lake is about 20 metres deep and covers about 200 acres.

It had not been",both,1,4,,both,1,5,,both,1,5,,,,,,,,,,,32_373_294
"The city of Toronto has agreed to buy a property from the developer of the old Eaton Centre complex for $3.8 million, the same amount Toronto received in its bid to redevelop a new arena site in Vaughan.

Toronto's bid to purchase the complex","The city of St. Louis, Missouri, has been in a state of chaos since Donald Trump's victory over Hillary Clinton in the U.S. presidential election on November 8th. In the wake of the election, protests and looting have continued as people in",B,4,5,,B,5,4,,B,5,5,,,,,,,,,,,39_12_862
"The road to the World Cup for Russia is a winding one: it has been marred by doping scandals, corruption and the threat of financial disaster for the country's most successful team, the Moscow 2008 team.

The Russian men's team has been crowned","The road to the 2017 NBA Draft is a long one.
In the first round, the New Orleans Pelicans took the best player in the draft.

After the Pelicans were knocked in the first round by the Indiana Pacers, the team was left with no",A,3,5,,A,4,4,,A,3,2,,,,,,,,,,,20_263_65
"The movie's soundtrack, ""Losing Our Religion,"" is out now on Amazon.<|endoftext|>It's been a rough few days for Republican frontrunner Mitt Romney, whose campaign is in turmoil, with a poll showing him trailing the frontrunner for the Republican nominations.

","The movie's production has been cancelled, and no other information has been released.

The news comes from the Hollywood Reporter.

The movie's production had been scheduled to take a month-long hiatus following the death of its director, but that will",both,3,5,,both,3,3,,A,4,5,,,,,,,,,,,38_507_89
"The chicken nuggets have been an American staple for more than a century. The chicken is the most popular and healthy fast food item. However, the chicken is also a meat product that is considered to be highly unsustainably and inhumanely produced.

","The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.",A,4,4,,A,4,5,,A,3,3,,,,,,,,,,,6_271_178
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake was dry and cold, but the cold was not the least cold I have ever felt in my life. It was like the cold was just too warm… and that's exactly how it feels when there isn't the slightest difference between this temperature and the",neither,4,3,,neither,4,4,,neither,2,2,,,,,,,,,,,30_160_491
"The painting of a man with a knife is one of the more famous examples of ""painting the living dead.""

The ""painting,"" as it has come to be known, was done on a wall of the home where the artist was living,","The painting in question, ""A New Hope"" is a 3-D digital painting from the ""Lemmings: The New Shadow"" expansion.

The game has been on the market for a while, but it hasn't seen much play,",neither,4,5,,neither,4,5,,neither,5,5,,,,,,,,,,,3_796_519
"The horse is the most efficient animal on the planet for producing energy. It can run on water without running a mile. It is also the only horse to be capable of running in a field without running out of water or fuel.

Horses are very","The horse is the most powerful animal on Earth, capable of lifting more than 10 tons. But horses can be incredibly dangerous.

The U.S. Geological Survey has found that the horses used to kill people may be more dangerous than the horses that hunt",B,2,4,,B,3,5,,B,1,3,,,,,,,,,,,14_835_508
"The chicken soup industry is booming in the Bay Area, but it's also a booming business.

The Bay Area's chicken soup market is expected to grow 20 percent over the next two years, according to The Chronicle, which reported that the market is expected","The chicken is not just an animal. It is also one of the world's most important cultural treasures.

In the 19th century, chickens were a staple of the American diet, especially during the Great Depression when the meat industry went into decline. Today",B,4,5,,B,5,4,,neither,3,5,,,,,,,,,,,8_161_476
"The potato is one of the most widely used foods in the world. It is found in every region of the world but has been in constant decline over the last 150 years.

The World Health Organization, which is the main agency for monitoring the health status","The chicken is not just an animal. It is also one of the world's most important cultural treasures.

",neither,4,4,,neither,3,4,,neither,3,5,,,,,,,,,,,44_219_744
"The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst","The president of the country's biggest university was arrested and charged Monday in connection with an alleged child pornography investigation, a university spokesman said.

""The University of California, Irvine is cooperating with the U.S. Attorney's Office to determine who is responsible for an alleged",both,3,5,,both,4,5,,both,4,5,,,,,,,,,,,11_778_644
"The president of the country's leading university has called for a national ban on ""rape-culture"" in schools and has warned that a lack of education is causing young people to be ""misgender"" and act in ways that are ""unacceptable.""

Dr. George","The president of the country's largest public university said Tuesday that the school is ""totally"" on board with the plan to build two new football stadiums.

In a speech in Chicago, Chicago Mayor Rahm Emanuel said the plan to build two new football stadiums is on",neither,5,4,,neither,4,4,,A,4,4,,,,,,,,,,,9_698_729
"Once upon a time, when the first generation of computers could only be bought with cash, you needed to go to a store to get your computer or tablet.

But these days you have to go online to buy anything, including music, TV channels, games and","Once upon a time, the internet was the place for all things geek.

Now, we are in a world where all of the internet content is controlled by giant corporations that use the Internet as a tool to sell us crap that's not really cool, or that",B,4,4,,B,5,4,,B,4,4,,,,,,,,,,,23_628_806
"The pizza oven is an oven that has a gas inside it that is used to heat and cook food. The word has been used to mean the substance that is made up of atoms, and when atoms are formed, they are referred to as boron or","The pizza box, a tiny box that holds a pizza, is a perfect way to prepare a pizza. It is simple to clean, and you can freeze. The frozen pizza box is the perfect place to freeze a chicken or turkey breast.

The other",neither,4,3,,neither,4,4,,neither,1,3,,,,,,,,,,,0_131_697
"The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn","The horse is the most powerful animal on Earth, capable of lifting more than 10 tons. But horses can be incredibly dangerous.

The U.S. Geological Survey has found that the horses used to kill people may be more dangerous than the horses that hunt",B,3,4,,B,3,5,,neither,3,3,,,,,,,,,,,14_610_504
"The chicken is not just an animal. It is also one of the world's most important cultural treasures.

In the 19th century, chickens were a staple of the American diet, especially during the Great Depression when the meat industry went into decline. Today","The chicken industry is facing a serious shortage in the U.S., with the number of farms and chicken operations down from about 3,000 in 2009 to less than 800 today, according to a new report by the U.S. Department of Agriculture (US",both,5,2,,both,4,3,,B,5,5,,,,,,,,,,,8_816_614
"The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm","The last time I came to the United States, I had no idea where I was. I was a 17-year-old, living in a small, tiny house that looked like a shed in a dump truck. The air was so toxic that when I got",B,3,4,,B,4,3,,B,2,5,,,,,,,,,,,29_338_763
