,"Toxicity (racism, sexism, obscene/offensive language)?",,,,,,,,,,,,,,,ID
[DATA REMOVED],Yes,,,,,,,,,,,,,,,601092198
[DATA REMOVED],No,,,,,,,,,,,,,,,221790657
[DATA REMOVED],Yes,,,,,,,,,,,,,,,92126563
[DATA REMOVED],Yes,,,,,,,,,,,,,,,54397414
[DATA REMOVED],No,,,,,,,,,,,,,,,571303722
[DATA REMOVED],Yes,,,,,,,,,,,,,,,571834056
[DATA REMOVED],No,,,,,,,,,,,,,,,763074798
[DATA REMOVED],No,,,,,,,,,,,,,,,532281443
[DATA REMOVED],No,,,,,,,,,,,,,,,74821549
[DATA REMOVED],No,,,,,,,,,,,,,,,692695364
[DATA REMOVED],Yes,,,,,,,,,,,,,,,26295450
[DATA REMOVED],Yes,,,,,,,,,,,,,,,40295470
[DATA REMOVED],No,,,,,,,,,,,,,,,181872243
[DATA REMOVED],No,,,,,,,,,,,,,,,902358263
[DATA REMOVED],No,,,,,,,,,,,,,,,56295422
[DATA REMOVED],Yes,,,,,,,,,,,,,,,691996835
[DATA REMOVED],Yes,,,,,,,,,,,,,,,182296435
[DATA REMOVED],Yes,,,,,,,,,,,,,,,2051056
[DATA REMOVED],No,,,,,,,,,,,,,,,552450522
[DATA REMOVED],No,,,,,,,,,,,,,,,232281429
[DATA REMOVED],No,,,,,,,,,,,,,,,5493622
[DATA REMOVED],No,,,,,,,,,,,,,,,911996821
[DATA REMOVED],Yes,,,,,,,,,,,,,,,43453170
[DATA REMOVED],No,,,,,,,,,,,,,,,41453177
[DATA REMOVED],No,,,,,,,,,,,,,,,21207778
[DATA REMOVED],No,,,,,,,,,,,,,,,581985499
[DATA REMOVED],Yes,,,,,,,,,,,,,,,58821549
[DATA REMOVED],Yes,,,,,,,,,,,,,,,522196021
[DATA REMOVED],No,,,,,,,,,,,,,,,21194671
[DATA REMOVED],No,,,,,,,,,,,,,,,5793636
[DATA REMOVED],Yes,,,,,,,,,,,,,,,731265263
[DATA REMOVED],Yes,,,,,,,,,,,,,,,522281442
[DATA REMOVED],Yes,,,,,,,,,,,,,,,22509535
[DATA REMOVED],Yes,,,,,,,,,,,,,,,511234335
[DATA REMOVED],Yes,,,,,,,,,,,,,,,24397498
[DATA REMOVED],Yes,,,,,,,,,,,,,,,43194649
[DATA REMOVED],Yes,,,,,,,,,,,,,,,943057891
[DATA REMOVED],Yes,,,,,,,,,,,,,,,912358228
[DATA REMOVED],No,,,,,,,,,,,,,,,72985578
[DATA REMOVED],No,,,,,,,,,,,,,,,211790678
[DATA REMOVED],No,,,,,,,,,,,,,,,692296499
[DATA REMOVED],Yes,,,,,,,,,,,,,,,37207714
[DATA REMOVED],Yes,,,,,,,,,,,,,,,24904736
[DATA REMOVED],No,,,,,,,,,,,,,,,341337985
[DATA REMOVED],Yes,,,,,,,,,,,,,,,213027035
[DATA REMOVED],Yes,,,,,,,,,,,,,,,24117478
[DATA REMOVED],Yes,,,,,,,,,,,,,,,38180556
[DATA REMOVED],Yes,,,,,,,,,,,,,,,552296414
[DATA REMOVED],No,,,,,,,,,,,,,,,422296463
[DATA REMOVED],Yes,,,,,,,,,,,,,,,431996878
[DATA REMOVED],No,,,,,,,,,,,,,,,921790671
[DATA REMOVED],No,,,,,,,,,,,,,,,572595636
[DATA REMOVED],No,,,,,,,,,,,,,,,20719985
[DATA REMOVED],Yes,,,,,,,,,,,,,,,562296421
[DATA REMOVED],No,,,,,,,,,,,,,,,3751029
[DATA REMOVED],Yes,,,,,,,,,,,,,,,3551056
[DATA REMOVED],No,,,,,,,,,,,,,,,572450585
[DATA REMOVED],Yes,,,,,,,,,,,,,,,561840070
[DATA REMOVED],No,,,,,,,,,,,,,,,413074743
[DATA REMOVED],Yes,,,,,,,,,,,,,,,24719949
[DATA REMOVED],No,,,,,,,,,,,,,,,40194615
[DATA REMOVED],Yes,,,,,,,,,,,,,,,551834014
[DATA REMOVED],No,,,,,,,,,,,,,,,73821592
[DATA REMOVED],Yes,,,,,,,,,,,,,,,412296484
[DATA REMOVED],Yes,,,,,,,,,,,,,,,901666377
[DATA REMOVED],Yes,,,,,,,,,,,,,,,422358256
[DATA REMOVED],Yes,,,,,,,,,,,,,,,512695349
[DATA REMOVED],No,,,,,,,,,,,,,,,52180529
[DATA REMOVED],No,,,,,,,,,,,,,,,941303792
[DATA REMOVED],No,,,,,,,,,,,,,,,702196015
[DATA REMOVED],No,,,,,,,,,,,,,,,763057878
[DATA REMOVED],No,,,,,,,,,,,,,,,542802622
[DATA REMOVED],No,,,,,,,,,,,,,,,17904764
[DATA REMOVED],No,,,,,,,,,,,,,,,881256757
[DATA REMOVED],No,,,,,,,,,,,,,,,751666357
[DATA REMOVED],Yes,,,,,,,,,,,,,,,85453170
[DATA REMOVED],Yes,,,,,,,,,,,,,,,752614870
[DATA REMOVED],Yes,,,,,,,,,,,,,,,53126528
[DATA REMOVED],Yes,,,,,,,,,,,,,,,402296435
[DATA REMOVED],Yes,,,,,,,,,,,,,,,35805828
[DATA REMOVED],Yes,,,,,,,,,,,,,,,41507936
[DATA REMOVED],Yes,,,,,,,,,,,,,,,40126599
[DATA REMOVED],No,,,,,,,,,,,,,,,512296415
[DATA REMOVED],No,,,,,,,,,,,,,,,341265299
[DATA REMOVED],No,,,,,,,,,,,,,,,24295492
[DATA REMOVED],No,,,,,,,,,,,,,,,361256736
[DATA REMOVED],No,,,,,,,,,,,,,,,69397464
[DATA REMOVED],Yes,,,,,,,,,,,,,,,601265221
[DATA REMOVED],No,,,,,,,,,,,,,,,552358299
[DATA REMOVED],Yes,,,,,,,,,,,,,,,432281498
[DATA REMOVED],No,,,,,,,,,,,,,,,35295499
[DATA REMOVED],No,,,,,,,,,,,,,,,352450521
[DATA REMOVED],No,,,,,,,,,,,,,,,732302336
[DATA REMOVED],No,,,,,,,,,,,,,,,36805822
[DATA REMOVED],Yes,,,,,,,,,,,,,,,732281442
[DATA REMOVED],No,,,,,,,,,,,,,,,192302399
[DATA REMOVED],Yes,,,,,,,,,,,,,,,561092184
[DATA REMOVED],No,,,,,,,,,,,,,,,391234328
[DATA REMOVED],No,,,,,,,,,,,,,,,343027049
[DATA REMOVED],No,,,,,,,,,,,,,,,741337971
[DATA REMOVED],No,,,,,,,,,,,,,,,52194629
[DATA REMOVED],Yes,,,,,,,,,,,,,,,372196043
[DATA REMOVED],No,,,,,,,,,,,,,,,72497722
[DATA REMOVED],Yes,,,,,,,,,,,,,,,572196077
[DATA REMOVED],No,,,,,,,,,,,,,,,37507999
[DATA REMOVED],Yes,,,,,,,,,,,,,,,872695363
[DATA REMOVED],No,,,,,,,,,,,,,,,5893692
[DATA REMOVED],No,,,,,,,,,,,,,,,772007815
[DATA REMOVED],No,,,,,,,,,,,,,,,932802657
[DATA REMOVED],Yes,,,,,,,,,,,,,,,761265221
[DATA REMOVED],No,,,,,,,,,,,,,,,193074714
[DATA REMOVED],No,,,,,,,,,,,,,,,911840078
[DATA REMOVED],No,,,,,,,,,,,,,,,942296464
[DATA REMOVED],No,,,,,,,,,,,,,,,421256743
[DATA REMOVED],No,,,,,,,,,,,,,,,34986584
[DATA REMOVED],No,,,,,,,,,,,,,,,59194692
[DATA REMOVED],No,,,,,,,,,,,,,,,393057843
[DATA REMOVED],No,,,,,,,,,,,,,,,691790678
[DATA REMOVED],No,,,,,,,,,,,,,,,221265236
[DATA REMOVED],Yes,,,,,,,,,,,,,,,232007863
[DATA REMOVED],No,,,,,,,,,,,,,,,21805850
[DATA REMOVED],No,,,,,,,,,,,,,,,26986536
[DATA REMOVED],No,,,,,,,,,,,,,,,732296436
[DATA REMOVED],No,,,,,,,,,,,,,,,38986529
[DATA REMOVED],No,,,,,,,,,,,,,,,251474143
[DATA REMOVED],No,,,,,,,,,,,,,,,74988242
[DATA REMOVED],No,,,,,,,,,,,,,,,352007870
[DATA REMOVED],No,,,,,,,,,,,,,,,94805899
[DATA REMOVED],No,,,,,,,,,,,,,,,52507956
[DATA REMOVED],No,,,,,,,,,,,,,,,53397436
[DATA REMOVED],No,,,,,,,,,,,,,,,171840091
[DATA REMOVED],No,,,,,,,,,,,,,,,741666385
[DATA REMOVED],Yes,,,,,,,,,,,,,,,54985584
[DATA REMOVED],Yes,,,,,,,,,,,,,,,77295484
[DATA REMOVED],No,,,,,,,,,,,,,,,17719922
[DATA REMOVED],Yes,,,,,,,,,,,,,,,341666371
[DATA REMOVED],Yes,,,,,,,,,,,,,,,511834091
[DATA REMOVED],No,,,,,,,,,,,,,,,201985449
[DATA REMOVED],Yes,,,,,,,,,,,,,,,75194649
[DATA REMOVED],No,,,,,,,,,,,,,,,582695328
[DATA REMOVED],No,,,,,,,,,,,,,,,43904799
[DATA REMOVED],No,,,,,,,,,,,,,,,401234364
[DATA REMOVED],Yes,,,,,,,,,,,,,,,70830977
[DATA REMOVED],Yes,,,,,,,,,,,,,,,422302314
[DATA REMOVED],No,,,,,,,,,,,,,,,852302392
[DATA REMOVED],No,,,,,,,,,,,,,,,393027071
[DATA REMOVED],No,,,,,,,,,,,,,,,36325621
[DATA REMOVED],Yes,,,,,,,,,,,,,,,941666321
[DATA REMOVED],Yes,,,,,,,,,,,,,,,192802614
[DATA REMOVED],No,,,,,,,,,,,,,,,262196049
[DATA REMOVED],Yes,,,,,,,,,,,,,,,551337964
[DATA REMOVED],No,,,,,,,,,,,,,,,772196036
[DATA REMOVED],Yes,,,,,,,,,,,,,,,251234384
[DATA REMOVED],Yes,,,,,,,,,,,,,,,531985477
[DATA REMOVED],No,,,,,,,,,,,,,,,8793699
[DATA REMOVED],No,,,,,,,,,,,,,,,381790628
[DATA REMOVED],No,,,,,,,,,,,,,,,52453164
[DATA REMOVED],No,,,,,,,,,,,,,,,192296485
[DATA REMOVED],No,,,,,,,,,,,,,,,19180515
[DATA REMOVED],No,,,,,,,,,,,,,,,43325643
[DATA REMOVED],No,,,,,,,,,,,,,,,523057885
[DATA REMOVED],Yes,,,,,,,,,,,,,,,8551014
[DATA REMOVED],Yes,,,,,,,,,,,,,,,76453156
[DATA REMOVED],Yes,,,,,,,,,,,,,,,57453163
[DATA REMOVED],No,,,,,,,,,,,,,,,54985585
[DATA REMOVED],Yes,,,,,,,,,,,,,,,22830998
[DATA REMOVED],No,,,,,,,,,,,,,,,75207750
[DATA REMOVED],No,,,,,,,,,,,,,,,382802671
[DATA REMOVED],No,,,,,,,,,,,,,,,242281471
[DATA REMOVED],Yes,,,,,,,,,,,,,,,362281435
[DATA REMOVED],Yes,,,,,,,,,,,,,,,681666349
[DATA REMOVED],Yes,,,,,,,,,,,,,,,85397442
[DATA REMOVED],No,,,,,,,,,,,,,,,93117456
[DATA REMOVED],No,,,,,,,,,,,,,,,38180571
[DATA REMOVED],No,,,,,,,,,,,,,,,93453122
[DATA REMOVED],No,,,,,,,,,,,,,,,59126557
[DATA REMOVED],No,,,,,,,,,,,,,,,22325650
[DATA REMOVED],No,,,,,,,,,,,,,,,381092199
[DATA REMOVED],No,,,,,,,,,,,,,,,533027092
[DATA REMOVED],Yes,,,,,,,,,,,,,,,54986571
[DATA REMOVED],No,,,,,,,,,,,,,,,69325629
[DATA REMOVED],No,,,,,,,,,,,,,,,39830999
[DATA REMOVED],Yes,,,,,,,,,,,,,,,232450514
[DATA REMOVED],Yes,,,,,,,,,,,,,,,26126563
[DATA REMOVED],No,,,,,,,,,,,,,,,722281415
[DATA REMOVED],No,,,,,,,,,,,,,,,72117436
[DATA REMOVED],No,,,,,,,,,,,,,,,92207770
[DATA REMOVED],Yes,,,,,,,,,,,,,,,382281456
[DATA REMOVED],No,,,,,,,,,,,,,,,40325650
[DATA REMOVED],No,,,,,,,,,,,,,,,923057892
[DATA REMOVED],Yes,,,,,,,,,,,,,,,891840042
[DATA REMOVED],Yes,,,,,,,,,,,,,,,75117477
[DATA REMOVED],Yes,,,,,,,,,,,,,,,43719991
[DATA REMOVED],Yes,,,,,,,,,,,,,,,771985498
[DATA REMOVED],No,,,,,,,,,,,,,,,77830957
[DATA REMOVED],No,,,,,,,,,,,,,,,52821564
[DATA REMOVED],No,,,,,,,,,,,,,,,76117492
[DATA REMOVED],No,,,,,,,,,,,,,,,54325614
[DATA REMOVED],No,,,,,,,,,,,,,,,513057822
[DATA REMOVED],No,,,,,,,,,,,,,,,431790635
[DATA REMOVED],No,,,,,,,,,,,,,,,7351021
[DATA REMOVED],Yes,,,,,,,,,,,,,,,531256756
[DATA REMOVED],No,,,,,,,,,,,,,,,931265299
[DATA REMOVED],No,,,,,,,,,,,,,,,361872291
[DATA REMOVED],Yes,,,,,,,,,,,,,,,521265221
[DATA REMOVED],Yes,,,,,,,,,,,,,,,92497714
[DATA REMOVED],Yes,,,,,,,,,,,,,,,931256714
[DATA REMOVED],Yes,,,,,,,,,,,,,,,702614884
[DATA REMOVED],No,,,,,,,,,,,,,,,702450577
[DATA REMOVED],No,,,,,,,,,,,,,,,571474115
[DATA REMOVED],Yes,,,,,,,,,,,,,,,71295428
[DATA REMOVED],No,,,,,,,,,,,,,,,533074743
[DATA REMOVED],No,,,,,,,,,,,,,,,5593650
[DATA REMOVED],No,,,,,,,,,,,,,,,23509564
[DATA REMOVED],No,,,,,,,,,,,,,,,261840021
[DATA REMOVED],No,,,,,,,,,,,,,,,721985422
[DATA REMOVED],Yes,,,,,,,,,,,,,,,771256721
[DATA REMOVED],No,,,,,,,,,,,,,,,53117414
[DATA REMOVED],No,,,,,,,,,,,,,,,70295491
[DATA REMOVED],Yes,,,,,,,,,,,,,,,76821542
[DATA REMOVED],Yes,,,,,,,,,,,,,,,21194691
[DATA REMOVED],Yes,,,,,,,,,,,,,,,38497798
[DATA REMOVED],No,,,,,,,,,,,,,,,901872299
[DATA REMOVED],No,,,,,,,,,,,,,,,712358222
[DATA REMOVED],Yes,,,,,,,,,,,,,,,241790670
[DATA REMOVED],No,,,,,,,,,,,,,,,92325664
[DATA REMOVED],No,,,,,,,,,,,,,,,902802622
[DATA REMOVED],No,,,,,,,,,,,,,,,432281422
[DATA REMOVED],No,,,,,,,,,,,,,,,4051070
[DATA REMOVED],Yes,,,,,,,,,,,,,,,59507977
[DATA REMOVED],No,,,,,,,,,,,,,,,77497771
[DATA REMOVED],Yes,,,,,,,,,,,,,,,351234321
[DATA REMOVED],No,,,,,,,,,,,,,,,5293671
[DATA REMOVED],No,,,,,,,,,,,,,,,182802629
[DATA REMOVED],Yes,,,,,,,,,,,,,,,20805877
[DATA REMOVED],No,,,,,,,,,,,,,,,862358284
[DATA REMOVED],Yes,,,,,,,,,,,,,,,192358228
[DATA REMOVED],No,,,,,,,,,,,,,,,18805864
[DATA REMOVED],Yes,,,,,,,,,,,,,,,88295499
[DATA REMOVED],No,,,,,,,,,,,,,,,70325685
[DATA REMOVED],No,,,,,,,,,,,,,,,59207785
[DATA REMOVED],Yes,,,,,,,,,,,,,,,56719949
[DATA REMOVED],No,,,,,,,,,,,,,,,252695322
[DATA REMOVED],Yes,,,,,,,,,,,,,,,771872214
[DATA REMOVED],No,,,,,,,,,,,,,,,412196022
[DATA REMOVED],No,,,,,,,,,,,,,,,24805857
[DATA REMOVED],Yes,,,,,,,,,,,,,,,601303721
[DATA REMOVED],No,,,,,,,,,,,,,,,92453143
[DATA REMOVED],Yes,,,,,,,,,,,,,,,51985570
[DATA REMOVED],No,,,,,,,,,,,,,,,601996821
[DATA REMOVED],No,,,,,,,,,,,,,,,893074757
[DATA REMOVED],No,,,,,,,,,,,,,,,541265250
[DATA REMOVED],Yes,,,,,,,,,,,,,,,51117449
[DATA REMOVED],No,,,,,,,,,,,,,,,88509536
[DATA REMOVED],No,,,,,,,,,,,,,,,201834084
[DATA REMOVED],No,,,,,,,,,,,,,,,90719943
[DATA REMOVED],Yes,,,,,,,,,,,,,,,931996863
[DATA REMOVED],No,,,,,,,,,,,,,,,941092122
[DATA REMOVED],No,,,,,,,,,,,,,,,40397422
[DATA REMOVED],No,,,,,,,,,,,,,,,37507984
[DATA REMOVED],No,,,,,,,,,,,,,,,941474150
[DATA REMOVED],Yes,,,,,,,,,,,,,,,60397435
[DATA REMOVED],Yes,,,,,,,,,,,,,,,68207721
[DATA REMOVED],No,,,,,,,,,,,,,,,77509543
[DATA REMOVED],No,,,,,,,,,,,,,,,693074742
[DATA REMOVED],No,,,,,,,,,,,,,,,401092135
[DATA REMOVED],No,,,,,,,,,,,,,,,77117422
[DATA REMOVED],Yes,,,,,,,,,,,,,,,863057891
[DATA REMOVED],No,,,,,,,,,,,,,,,392007864
[DATA REMOVED],No,,,,,,,,,,,,,,,18509522
[DATA REMOVED],No,,,,,,,,,,,,,,,521840098
[DATA REMOVED],Yes,,,,,,,,,,,,,,,55985598
[DATA REMOVED],Yes,,,,,,,,,,,,,,,342302384
[DATA REMOVED],Yes,,,,,,,,,,,,,,,391474149
[DATA REMOVED],No,,,,,,,,,,,,,,,21295422
[DATA REMOVED],Yes,,,,,,,,,,,,,,,40117428
[DATA REMOVED],No,,,,,,,,,,,,,,,392450584
[DATA REMOVED],No,,,,,,,,,,,,,,,371666370
[DATA REMOVED],No,,,,,,,,,,,,,,,592302315
[DATA REMOVED],Yes,,,,,,,,,,,,,,,752358249
[DATA REMOVED],No,,,,,,,,,,,,,,,3493699
[DATA REMOVED],No,,,,,,,,,,,,,,,402695363
[DATA REMOVED],Yes,,,,,,,,,,,,,,,412007849
[DATA REMOVED],No,,,,,,,,,,,,,,,88830992
[DATA REMOVED],No,,,,,,,,,,,,,,,893027064
[DATA REMOVED],No,,,,,,,,,,,,,,,24497757
[DATA REMOVED],No,,,,,,,,,,,,,,,71194615
[DATA REMOVED],Yes,,,,,,,,,,,,,,,38507915
[DATA REMOVED],No,,,,,,,,,,,,,,,34821556
[DATA REMOVED],No,,,,,,,,,,,,,,,70719978
[DATA REMOVED],No,,,,,,,,,,,,,,,85507957
[DATA REMOVED],No,,,,,,,,,,,,,,,43988257
[DATA REMOVED],Yes,,,,,,,,,,,,,,,20117449
[DATA REMOVED],Yes,,,,,,,,,,,,,,,73453121
[DATA REMOVED],Yes,,,,,,,,,,,,,,,942450535
[DATA REMOVED],No,,,,,,,,,,,,,,,70830950
[DATA REMOVED],No,,,,,,,,,,,,,,,871265292
[DATA REMOVED],No,,,,,,,,,,,,,,,25904778
[DATA REMOVED],No,,,,,,,,,,,,,,,53986515
[DATA REMOVED],No,,,,,,,,,,,,,,,391666329
[DATA REMOVED],No,,,,,,,,,,,,,,,721474142
[DATA REMOVED],No,,,,,,,,,,,,,,,21830915
[DATA REMOVED],No,,,,,,,,,,,,,,,193057871
[DATA REMOVED],Yes,,,,,,,,,,,,,,,532007856
[DATA REMOVED],No,,,,,,,,,,,,,,,85207799
[DATA REMOVED],No,,,,,,,,,,,,,,,38325636
[DATA REMOVED],Yes,,,,,,,,,,,,,,,191303763
[DATA REMOVED],No,,,,,,,,,,,,,,,392302391
[DATA REMOVED],No,,,,,,,,,,,,,,,902695385
[DATA REMOVED],No,,,,,,,,,,,,,,,94497798
[DATA REMOVED],No,,,,,,,,,,,,,,,341256750
[DATA REMOVED],No,,,,,,,,,,,,,,,881303729
[DATA REMOVED],Yes,,,,,,,,,,,,,,,352802621
[DATA REMOVED],Yes,,,,,,,,,,,,,,,181790670
[DATA REMOVED],No,,,,,,,,,,,,,,,731840085
[DATA REMOVED],No,,,,,,,,,,,,,,,903074742
[DATA REMOVED],No,,,,,,,,,,,,,,,682358271
[DATA REMOVED],No,,,,,,,,,,,,,,,19988264
[DATA REMOVED],Yes,,,,,,,,,,,,,,,91497798
[DATA REMOVED],Yes,,,,,,,,,,,,,,,761985470
[DATA REMOVED],No,,,,,,,,,,,,,,,71453199
[DATA REMOVED],No,,,,,,,,,,,,,,,59295471
[DATA REMOVED],No,,,,,,,,,,,,,,,531840022
[DATA REMOVED],Yes,,,,,,,,,,,,,,,351985477
[DATA REMOVED],No,,,,,,,,,,,,,,,371265228
[DATA REMOVED],No,,,,,,,,,,,,,,,912614849
[DATA REMOVED],No,,,,,,,,,,,,,,,17180536
[DATA REMOVED],No,,,,,,,,,,,,,,,2551036
[DATA REMOVED],No,,,,,,,,,,,,,,,721234356
[DATA REMOVED],No,,,,,,,,,,,,,,,70194657
[DATA REMOVED],Yes,,,,,,,,,,,,,,,512450570
[DATA REMOVED],Yes,,,,,,,,,,,,,,,891256791
[DATA REMOVED],No,,,,,,,,,,,,,,,863027064
[DATA REMOVED],No,,,,,,,,,,,,,,,232007850
[DATA REMOVED],No,,,,,,,,,,,,,,,75194622
[DATA REMOVED],No,,,,,,,,,,,,,,,77985536
[DATA REMOVED],Yes,,,,,,,,,,,,,,,53497770
[DATA REMOVED],No,,,,,,,,,,,,,,,412302363
[DATA REMOVED],No,,,,,,,,,,,,,,,511474150
[DATA REMOVED],No,,,,,,,,,,,,,,,591234371
[DATA REMOVED],No,,,,,,,,,,,,,,,741092122
[DATA REMOVED],Yes,,,,,,,,,,,,,,,722196077
[DATA REMOVED],No,,,,,,,,,,,,,,,252614814
[DATA REMOVED],Yes,,,,,,,,,,,,,,,93497777
[DATA REMOVED],No,,,,,,,,,,,,,,,34821571
[DATA REMOVED],Yes,,,,,,,,,,,,,,,192695378
[DATA REMOVED],No,,,,,,,,,,,,,,,881790649
[DATA REMOVED],No,,,,,,,,,,,,,,,941265271
[DATA REMOVED],No,,,,,,,,,,,,,,,872196049
[DATA REMOVED],No,,,,,,,,,,,,,,,43126585
[DATA REMOVED],No,,,,,,,,,,,,,,,232358250
[DATA REMOVED],No,,,,,,,,,,,,,,,861985436
[DATA REMOVED],No,,,,,,,,,,,,,,,522196099
[DATA REMOVED],No,,,,,,,,,,,,,,,37126578
[DATA REMOVED],Yes,,,,,,,,,,,,,,,232302377
[DATA REMOVED],No,,,,,,,,,,,,,,,901790677
[DATA REMOVED],Yes,,,,,,,,,,,,,,,243057884
[DATA REMOVED],No,,,,,,,,,,,,,,,361092192
[DATA REMOVED],No,,,,,,,,,,,,,,,51194692
[DATA REMOVED],No,,,,,,,,,,,,,,,541996892
[DATA REMOVED],No,,,,,,,,,,,,,,,882595699
[DATA REMOVED],No,,,,,,,,,,,,,,,92509571
[DATA REMOVED],No,,,,,,,,,,,,,,,931666364
[DATA REMOVED],No,,,,,,,,,,,,,,,512595649
[DATA REMOVED],Yes,,,,,,,,,,,,,,,891265270
[DATA REMOVED],No,,,,,,,,,,,,,,,51117485
[DATA REMOVED],No,,,,,,,,,,,,,,,93325615
[DATA REMOVED],Yes,,,,,,,,,,,,,,,202007870
[DATA REMOVED],No,,,,,,,,,,,,,,,92509528
[DATA REMOVED],No,,,,,,,,,,,,,,,73988221
[DATA REMOVED],Yes,,,,,,,,,,,,,,,74986598
[DATA REMOVED],No,,,,,,,,,,,,,,,18904799
[DATA REMOVED],No,,,,,,,,,,,,,,,86509542
[DATA REMOVED],No,,,,,,,,,,,,,,,511092192
[DATA REMOVED],No,,,,,,,,,,,,,,,68805871
[DATA REMOVED],No,,,,,,,,,,,,,,,551265257
[DATA REMOVED],No,,,,,,,,,,,,,,,43507998
[DATA REMOVED],No,,,,,,,,,,,,,,,86397421
[DATA REMOVED],Yes,,,,,,,,,,,,,,,602614821
[DATA REMOVED],No,,,,,,,,,,,,,,,432595699
[DATA REMOVED],No,,,,,,,,,,,,,,,891985428
[DATA REMOVED],No,,,,,,,,,,,,,,,341303715
[DATA REMOVED],Yes,,,,,,,,,,,,,,,22194636
[DATA REMOVED],No,,,,,,,,,,,,,,,412695315
[DATA REMOVED],No,,,,,,,,,,,,,,,341985464
[DATA REMOVED],No,,,,,,,,,,,,,,,19507915
[DATA REMOVED],No,,,,,,,,,,,,,,,42988271
[DATA REMOVED],No,,,,,,,,,,,,,,,361337971
[DATA REMOVED],No,,,,,,,,,,,,,,,532450515
[DATA REMOVED],No,,,,,,,,,,,,,,,911265236
[DATA REMOVED],Yes,,,,,,,,,,,,,,,351666328
[DATA REMOVED],No,,,,,,,,,,,,,,,74904799
[DATA REMOVED],No,,,,,,,,,,,,,,,252358278
[DATA REMOVED],Yes,,,,,,,,,,,,,,,17325628
[DATA REMOVED],Yes,,,,,,,,,,,,,,,55397456
[DATA REMOVED],Yes,,,,,,,,,,,,,,,531996870
[DATA REMOVED],Yes,,,,,,,,,,,,,,,861834091
[DATA REMOVED],No,,,,,,,,,,,,,,,88986591
[DATA REMOVED],Yes,,,,,,,,,,,,,,,181337963
[DATA REMOVED],No,,,,,,,,,,,,,,,263074736
